,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T_amb,s1,s2,s3,s4,s5,s6,s7,s8,s9,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,T1_2,T2_2,T3_2,T4_2,T5_2,T6_2,T7_2,T8_2,T9_2,T10_2,T11_2,T12_2,T13_2,T14_2,T_amb_2,s1_2,s2_2,s3_2,s4_2,s5_2,s6_2,s7_2,s8_2,s9_2,u1_2,u2_2,u3_2,u4_2,u5_2,u6_2,u7_2,u8_2,u9_2,u10_2,u11_2,u12_2,u13_2,u14_2,T1_4,T2_4,T3_4,T4_4,T5_4,T6_4,T7_4,T8_4,T9_4,T10_4,T11_4,T12_4,T13_4,T14_4,T_amb_4,s1_4,s2_4,s3_4,s4_4,s5_4,s6_4,s7_4,s8_4,s9_4,u1_4,u2_4,u3_4,u4_4,u5_4,u6_4,u7_4,u8_4,u9_4,u10_4,u11_4,u12_4,u13_4,u14_4,T1_8,T2_8,T3_8,T4_8,T5_8,T6_8,T7_8,T8_8,T9_8,T10_8,T11_8,T12_8,T13_8,T14_8,T_amb_8,s1_8,s2_8,s3_8,s4_8,s5_8,s6_8,s7_8,s8_8,s9_8,u1_8,u2_8,u3_8,u4_8,u5_8,u6_8,u7_8,u8_8,u9_8,u10_8,u11_8,u12_8,u13_8,u14_8,T1_32,T2_32,T3_32,T4_32,T5_32,T6_32,T7_32,T8_32,T9_32,T10_32,T11_32,T12_32,T13_32,T14_32,T_amb_32,s1_32,s2_32,s3_32,s4_32,s5_32,s6_32,s7_32,s8_32,s9_32,u1_32,u2_32,u3_32,u4_32,u5_32,u6_32,u7_32,u8_32,u9_32,u10_32,u11_32,u12_32,u13_32,u14_32
0,0.84022883089429,0.0,0.007759724196679343,0.0,0.0,0.0,0.05106175861297061,0.02262969808427424,0.005703906571477817,0.005796857235704343,0.0,0.0,0.0,0.0,0.012764000626670458,0.0,0.0005462679747847854,0.0001926916390954292,0.00014269315050228142,9.68375623422322e-05,7.331556152498912e-05,0.0038478598879678645,0.0,0.0,0.5692757724932035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027334493004195135,2.0812414506251656e-05,2.3167738447103918e-05,1.5939708818384383e-05,0.0,0.0,0.007135653408924314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014611456705018825,2.5153629265547646e-05,3.638722172844233e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003944452337358569,0.0,0.0,1.7551170677934603e-05,0.0,0.0,0.0,0.0003295863813197194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010531168098743906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00783841660941499,0.0,3.422540106466389e-05,2.838055941683727e-05,2.0454323722600397e-05,0.0,5.699428594011684e-05,0.0,0.0,0.0,0.06834261887951254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.8081991822429639,0.0,0.003011751140632639,0.003917328843039666,0.01974117092568192,0.10588576119146872,0.0,0.0,0.0,0.0015871990168670432,0.0028652465563922167,0.0,0.0,0.004146405804744722,0.0,0.0005472725915066982,0.00017131024217947744,0.00010791311615556587,4.2141374002853795e-05,2.5590010846188775e-05,0.0,0.00039871678888677223,0.0044274058648120975,0.0,0.45289700128343235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034625581735274756,0.00010569922419867582,0.00010009214046290299,7.40597490671762e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8122019941488985e-05,1.4070883209897844e-05,3.785076054119532e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.40750796885797e-05,0.0,0.0,0.0,0.0026169607516117336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115083229408085,0.0,1.4649896494663808e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0572903002710616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.8247383976872719,0.0,0.0,0.008950811722313556,0.12896059530433837,0.0,0.0005132262256824935,0.009798984576959656,0.0,0.0,0.0,0.003461187789459629,0.0,0.0,0.001217627824394533,0.0005005783301454194,8.620625674483804e-05,3.2762532104021925e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.2803125902873985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008444646319529474,0.0,0.00012911906857771246,6.318583363320335e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000600510929661574,0.0,9.22094096084952e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044448816651555296,0.0,1.1370298319720895e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004559738106402679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006095799465409191,0.0,0.0,2.5032966153882142e-05,0.0,2.599701536681716e-07,3.767428051487348e-05,0.0,0.0,0.0010380699077499852,0.0,0.0,0.050331278284311054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.870139097228873,0.0,0.0,0.08836399744493234,0.0,0.0,0.0,0.005584326434910761,0.0,0.0,0.0,0.00304889127558653,0.0,0.0003775452964158041,0.00011806144555137868,5.63027935736276e-05,2.906361457786873e-05,0.0,0.0,0.0,0.0013289466229762052,0.0,0.0,0.0,0.2768260672062169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001636046947696748,5.32076829591669e-05,6.502633798105063e-05,3.379086405848768e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.752408207053325e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.598405705788909e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037096104725088588,0.0,0.0,0.0,0.0,1.6024986949482817e-05,3.053365119592556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.02798921932428885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0011932551646887141,0.0,0.9085451986888258,0.0,0.04996809476515414,0.0,0.0,0.0,0.0,0.0010333447906522954,0.0,0.0013366142226607476,0.002839881583348417,0.0,0.002191562208890711,0.0008570535031255181,0.0006821445381254622,0.0005032596703575537,0.0002611032798260913,0.0,0.00012492359076041399,0.0,0.0,0.0,0.0,0.0,0.37799121717217127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017330425808737178,0.00025962904893921324,0.00011990728638086418,0.0,0.0,0.0024393647474181455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006076861612565631,0.00016465642526446696,0.00011614779678099293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0595855804133182e-05,0.0,5.91509240339979e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014315511441117447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009404138361916918,0.0,0.00047143708673568684,0.00015274927968139863,8.262815860237538e-05,4.2174820758365304e-05,4.0267323147577286e-05,0.0,0.0,0.004048012550297998,0.0,0.0,0.0,0.0,0.0374148052387258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.018702042140300582,0.8665808002354894,0.06248783002731422,0.0,0.0,0.0,0.0,0.0,0.0,0.014199719083273147,0.0009855034796075908,0.0,0.0002188559806069558,0.0,0.00018180064284261817,0.00028865248777174387,0.00022831217705752843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3649255453384076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002969605526258467,0.0003171049293871554,0.0004929587398307013,0.0005574695025830727,0.0,0.0,0.0035407144464862923,0.005306633192405451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011473745172641286,0.0001586308840483404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026264994170820057,0.00018943305941613944,0.0,3.3381497386041694e-05,7.096078284945997e-05,0.00014125599101856204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004606571384811723,0.0,0.0008028207041643194,0.0001661134265535755,0.00012870628716086748,0.00011806160432690801,0.00018128810929778704,0.0,0.0,0.0017934774467664942,0.0,0.0,0.0,0.0,0.0,0.04603930838203236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.03876088786863371,0.017665111337698075,0.034219631134445455,0.050033301227529865,0.053493139012115574,0.037156780620835266,0.7157873279379422,0.0,0.0016932542524255685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002749982807398608,7.869063605240265e-05,3.824114453060744e-05,2.097161061380826e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08381481284819871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003503357619129308,0.0,4.3616684325856275e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022939528483731397,3.3337068042270646e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7403254570868387e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005549808586358417,0.0,0.0,0.0,1.401493220099408e-05,2.121325474038404e-05,5.800271345218063e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0413051001314694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8307943246086323,0.0,0.05611422831771893,0.04218255653581016,0.0249925328381488,0.0209340171751724,0.0,0.0,0.0,0.0004293710103392899,0.0001340143348669892,0.00017712749291227216,0.00014637443659025023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30864835225971526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038962367713347534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048382889430232485,3.046083571904381e-05,1.892623378035272e-05,8.231607223086451e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006265016391951123,0.00013279010592834198,9.625986003814254e-05,6.459762373141285e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042266199100733827,0.0,1.743246713567795e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007479892799177029,0.0,0.0,0.0,2.4785916146624286e-05,6.488757890975735e-06,1.0023993527461718e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02852947860632311,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.005707130830397394,0.0,0.0,0.0,0.0,0.0,0.9299697007785254,0.0,0.0056482283636857126,0.004357438735663125,0.0,0.0,0.002725844112268568,0.0,0.0005926284654934365,0.0001816705740582982,0.00019939210017223526,0.00017419879136984373,0.00013988962145066114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.437072116202367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005304516606155384,5.544980158727819e-05,1.190094656833431e-05,2.048996454911712e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07529378209796894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.359086199419257e-05,3.563093756629661e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0542950575208626e-05,1.422757547488253e-05,2.4251535536654025e-06,0.0,0.0012874255962120427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014723756406343363,0.0,0.0,0.0,0.000879437150756951,0.0,0.0,0.0,0.0,0.0,0.002689917881228378,0.0,0.00014303706837669907,3.0375084236908017e-05,1.0892150491246535e-05,5.496389389790062e-05,6.337901692744956e-05,0.0,0.0,0.0020677003352844673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.00017766044929880674,0.0,0.004680797613730168,0.0,0.002344040540397654,0.0,0.0,0.1814337270149069,0.0,0.7662156516583205,0.0,0.0,0.0,0.0,0.0,0.0,0.0012225656979091887,0.0006301202842715025,0.0002638558349985401,0.0001693344430529272,9.608811489183264e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3193339047898432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045841578931308125,0.0,0.0,0.0,0.0,0.0,0.0,0.0008561263460313861,0.00016774669800029654,8.639480722748672e-05,4.8581157952860075e-05,0.0,0.0,0.007208990270573879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023889034151781282,0.00011361136203674624,2.0838302684868434e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1089311238880383e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0504916555087816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01173236867942197,0.0,0.0,0.00010404113840108253,3.215324967534426e-05,4.348314611920811e-05,4.413161220917502e-05,0.0,0.005681820372490048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06982155229157598,0.0,0.0,0.0,0.0
