,zone_0,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_10,zone_11,zone_12,zone_13,zone_14,zone_15,zone_16,zone_17,zone_18,zone_19,zone_20
1,0.1156178476548818,0.08682075427184051,0.10101585652062185,0.13029745163544096,0.1006116828007398,0.0668569653698427,0.026175108495793655,0.09762658405317508,0.036433757038559805,0.06449796668195329,0.05361850804689249,0.03116677056831918,0.01648221739644123,0.008167519863443573,0.01333290077535088,0.10285215388745138,0.08973824451887459,0.08245099302276958,0.1292651098211174,0.08432368290424506,0.010575635905373287
2,0.16436825314781786,0.11686551868806301,0.14235302617941492,0.19573908823317096,0.1357097316252436,0.0760293871429825,0.048892389675769574,0.1261669505524852,0.06708870304587383,0.11085973908088752,0.09618269375609972,0.057964016721866615,0.03073407526796267,0.014191250926457474,0.024611824116566757,0.12190270840433073,0.1603124244094869,0.1123067259905578,0.1568378605055997,0.10653230174470997,0.019253393493991123
3,0.2001111152143436,0.1525156501382529,0.17392696906428484,0.2541806404153217,0.17181627043913167,0.10344464828670816,0.06915144020808435,0.14161093408371433,0.09407799830222183,0.14665737254066663,0.13206336436501584,0.08202696304978468,0.04394192509054985,0.020373112253622296,0.0350052162008963,0.16586569886424565,0.21907815616108212,0.14923589308639879,0.18862023688246196,0.14068831774001686,0.02768115034373274
4,0.2258612193382446,0.17969259186431993,0.20201789453476363,0.2990733075393385,0.19947989943021152,0.11695093836579377,0.08706739696204091,0.16821182367105808,0.11813761364254356,0.1779458746170341,0.16217329243989625,0.10393700417835401,0.05617762770302543,0.02646432932550697,0.04457076911112099,0.1933624542501746,0.2713637414008965,0.17552438200015913,0.20493707664672195,0.1624783966003946,0.035568766143617286
5,0.24782083198775595,0.20619170069921686,0.22362428744444987,0.3377333876847148,0.22515115026224602,0.13894510974988653,0.10308971071642933,0.1816757240000039,0.13983232682145177,0.2045657803096371,0.18773112787224872,0.1240769986832987,0.06768377493786758,0.03241596801258543,0.053434811987804004,0.22874993031570381,0.3173562430859185,0.20379839060778396,0.22844261750019015,0.18905396527657295,0.043018273634290886
6,0.2645969086403304,0.2278444157182234,0.24399958392329085,0.36879342289965406,0.2458623015531144,0.15290786643867701,0.11759184517893127,0.2028888390131709,0.15950705070613588,0.22761038315865326,0.20999542472268856,0.1425967295258763,0.0785749690413216,0.038176260052346735,0.06179808921459312,0.2530944253090844,0.3581279987999067,0.22490585349108874,0.24160991813351104,0.20683955897658088,0.05010192289060757
7,0.2794726255654312,0.2480712617705214,0.26100563267688554,0.39554378098256815,0.2640275158981243,0.17035390190821437,0.13085106735091295,0.2165105760041858,0.17755283613911416,0.24791520874073034,0.22959686744694358,0.15975335871712057,0.08890505257546748,0.04381642312436327,0.0696782866408038,0.2804861906461718,0.39479899402121577,0.24648751007747197,0.25938708186313564,0.22650845119223448,0.05680690596302229
8,0.2920539173948985,0.2656139607233663,0.27752264931852794,0.41781862286773136,0.27995430366204266,0.18360577781728565,0.14308092309214143,0.23475999397816413,0.19418137970045923,0.26603579651692033,0.2469718168734342,0.1757114147378131,0.09871700328162908,0.04932654519351511,0.07719438510707648,0.3019502705710366,0.42821695316588754,0.26439059753519634,0.27142008252385147,0.2411843272078647,0.06325520375523569
9,0.3039757058014658,0.2817386336402402,0.2923065840635027,0.4372418192546686,0.2949544117782727,0.19920307612963636,0.15441595269322278,0.24830115917909215,0.20947405628925392,0.2823133406699132,0.2623928335250699,0.19059434549789997,0.10805275745408197,0.0547314422027104,0.08435522577132767,0.3241038565819563,0.4589431776528182,0.28214387401072755,0.2873800869298605,0.2569650839930432,0.06941652988705238
10,0.3147735015969519,0.295883060047237,0.30591872591219343,0.45356622946887387,0.30852117602603435,0.2117458966877808,0.16502163751471777,0.2638135165700408,0.22359119743584768,0.29627506353836797,0.27608401330354393,0.20448748081200943,0.11697184898754337,0.06000685494284446,0.09126502318963081,0.3423776731509566,0.4868650157889091,0.2975627151612251,0.29986520286172,0.26991793240910106,0.0753885731433814
