,zone_0,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_10,zone_11,zone_12,zone_13
1,0.06806489763527493,0.07335952063566757,0.06815214067131711,0.10080820765264874,0.09522715825163976,0.10527093513226447,0.03811939599381644,0.09451708725049998,0.06801012052544446,0.07644653986139817,0.11596580753232688,0.08170905512701843,0.05412605633793567,0.011705473531262263
2,0.08590097988640161,0.100838356530621,0.11239682396301691,0.16026961402046375,0.14770391227004523,0.17509395455634585,0.0659845235480746,0.11104889294819016,0.11333922290944642,0.09402033661548462,0.1451952871396596,0.1041288966125206,0.07233235081305324,0.02099077972571462
3,0.10519632446340053,0.1288327983000124,0.15120014670527263,0.20732831619844203,0.1894766549194343,0.23465256785643215,0.09084681065327863,0.13025525901695817,0.1506193841180278,0.12559088044646846,0.17994517085711367,0.13500735831213903,0.09594009422616642,0.02999617705832887
4,0.11996781382316207,0.15060929603214043,0.18554265730979044,0.24514556269725996,0.22345006311661197,0.28622584778721577,0.11328288967119554,0.14606760550025327,0.18206493679450172,0.1497825569198196,0.20640731825159714,0.159203528660303,0.11637598160199365,0.038662940725492624
5,0.1338978547872887,0.1744077145412081,0.21687938662065642,0.27726691032972534,0.2511503680032042,0.3309216490538299,0.13493018529527867,0.15782656363327704,0.20671358753755628,0.17396436037565188,0.2285094729390525,0.18029253487051883,0.13449366807010263,0.04713215991855644
6,0.14547129414751553,0.19400249668429426,0.24472050474929877,0.3044051242194634,0.27389777700272927,0.3693713892779769,0.1552514143533858,0.16920007092895345,0.22768002783623528,0.19466698534789173,0.24623941359583967,0.1976207622611196,0.15056090138417536,0.055321988744919975
7,0.155797283110392,0.2126089294531494,0.26978559561384835,0.327675178019246,0.2924205060826186,0.4027371593262912,0.17417395640876185,0.17881149570511584,0.24504772568835861,0.21441285553678097,0.26161474692723596,0.2122110492710666,0.1648938836764665,0.06315969986690982
8,0.16474283372053494,0.228618226622266,0.2922029724918677,0.3474798260214679,0.30802442181087913,0.43168066072094263,0.19194896133427813,0.188879054545911,0.26064809452782606,0.23148094165204164,0.2740668944130535,0.22351129577964202,0.17760128534758116,0.0707391290362794
9,0.17299331965648992,0.24416056406692926,0.31234795384953845,0.36538646044257556,0.32110255235407936,0.4568142887083256,0.20868194103164864,0.1968894966844738,0.2757156249785499,0.24763720421392127,0.28578313058064186,0.23315972099138102,0.18984991608618096,0.07810267634460274
10,0.18069993891723793,0.2573024570899752,0.3304860274624988,0.3810784313931046,0.33219494521547194,0.4786464389897024,0.22438437718164866,0.20455005708812393,0.28888906115181123,0.26200144922240687,0.29566281790521565,0.2407014274038881,0.20112941712246363,0.08525111957878344
11,0.18763744846173327,0.26899171629257507,0.34669880025059396,0.3948458073794555,0.34168242472947485,0.49771932752327186,0.23901469089001262,0.21169386440698845,0.30083927392414356,0.2748953589195378,0.3043472763344439,0.2468575239844638,0.21128769489169014,0.09217058571072279
12,0.19420123461986497,0.27988888555367014,0.36120894784561847,0.4069954183607209,0.34990693176428433,0.5144744878875365,0.25264329404272884,0.21797711703672126,0.31134014540933685,0.2866460201867682,0.3120822412235651,0.25231942308721345,0.2209283914074775,0.098893634896941
13,0.20060238011652456,0.2900955199290439,0.3744234885562207,0.41780343459974756,0.35695132275423325,0.5291742310075225,0.2654879112917332,0.22388423770850202,0.31998849545980024,0.2975285858716506,0.319127986231248,0.25703908349394766,0.22981765204089413,0.1054465850237172
14,0.20693439977583233,0.29935765766931344,0.38637376442086224,0.4275438597049726,0.3633609870607351,0.5420888036841395,0.2775342120447236,0.2299529211562589,0.327268698353784,0.3071338556491876,0.32499226745550186,0.26087670899828463,0.2377868086424062,0.11181590154231534
15,0.21299069437211177,0.3075702980945129,0.39715592243831893,0.4361922264347775,0.36941495440619254,0.5534032206418633,0.2887645119906141,0.23556028823068753,0.3331159489241816,0.31627760496099233,0.3308030866265853,0.26453189988471637,0.24543807008038251,0.11801687444396088
16,0.21891755018260564,0.31527813476735245,0.4069548030792609,0.44386998375833414,0.375150715854867,0.5633737324781382,0.2991917676747242,0.2413081372844418,0.33802162078617237,0.3244392921311654,0.3360108796823816,0.2676489461007935,0.252416802429106,0.12405730863373927
17,0.22462077790895876,0.3221353549560802,0.41585451803813245,0.45074639812160455,0.38046955115985176,0.572120408531703,0.3089433952799093,0.24655938851737816,0.3425335562667085,0.33199655082760104,0.34119529602180076,0.27066294998808693,0.2589547451585838,0.12994943693383235
18,0.2301273265140492,0.32864134830795844,0.42393791357003335,0.45702500714614336,0.38537675794683696,0.5798605849848922,0.3180363179010668,0.25174291816972805,0.3475817909508502,0.3389692020208872,0.34597514196119816,0.2735027248046046,0.26514064983703745,0.13569057615821056
19,0.2353189346021639,0.33444193063788613,0.43126005829430714,0.46276514672815555,0.3898195828893248,0.5866872383498372,0.3265362577260191,0.2565741204143265,0.3520656526634841,0.34543615222104856,0.3505034520027612,0.2763077140539897,0.27093465955182516,0.14128711052826698
20,0.24017546685450156,0.3397746370555342,0.4379240886947324,0.4679652453175472,0.393772439226991,0.5927340578469984,0.3343996953088935,0.26122072445753947,0.3559544841437001,0.3513172221142055,0.3546100430726631,0.278890180400884,0.2763109730298932,0.1467535003609198
21,0.24469526795730348,0.3444984497319004,0.44395363379700237,0.47269890633144457,0.39721856452009957,0.5980770472671096,0.34164441813316143,0.26528997166199464,0.35900653056463167,0.3567449686624779,0.35850674360156615,0.2814724834635726,0.2813296675750565,0.1520919914719054
22,0.24909927746828373,0.348925109210913,0.4494511729093697,0.47697739074474255,0.40018879912478833,0.6028514311441975,0.3483526536082468,0.2692964881633153,0.3612906280031696,0.36160601238903894,0.3619986366391047,0.28374535493314057,0.2859871438975172,0.15733407039319372
23,0.2533226206716463,0.35292716700659826,0.454458785363588,0.4808314440615454,0.40283538667074464,0.6070905318176514,0.3545993426122756,0.2726947494694932,0.362988835947729,0.366196314140709,0.3653817747017518,0.2862367370536822,0.2902797075480866,0.16250066095979546
24,0.25735519834080384,0.3567061740337108,0.45900718003561286,0.48431362954939666,0.4051798551287309,0.610897911785677,0.36039905269343353,0.2760803560314196,0.3642481662512253,0.3703377706075613,0.36846702087226635,0.28866481851518844,0.2942941649311396,0.16759558781748213
25,0.26123546525759,0.3600713320783247,0.4631805386160219,0.4875358508764324,0.40726280715291924,0.6143094712199894,0.3657602846802514,0.27932158831714615,0.36502404189176885,0.373994121591077,0.37121787918337457,0.29089609866840394,0.29787559723198703,0.1726127587127869
26,0.2648849404597344,0.36321189058098524,0.4669998769506977,0.49050246268617725,0.40911689252989886,0.6173478569241256,0.370699301718261,0.28209615083870765,0.3654609629603629,0.37746363938621136,0.3738271510441715,0.2931741130014597,0.3013333203633001,0.17752814847809698
27,0.26832869601721665,0.36598736333186704,0.4704833054816717,0.49321936008823297,0.41079464205155175,0.6200784517342104,0.3752392481300281,0.28488274008255815,0.3655734062914737,0.3805096503560933,0.37624760459098866,0.2953266110532781,0.3045381781565003,0.1823246132661907
