time,T_amb,irrad
2020-09-22 00:00:00,12.488784896415929,0.0
2020-09-22 00:15:00,12.43927177428222,0.0
2020-09-22 00:30:00,12.389758652148512,0.0
2020-09-22 00:45:00,12.340245530014803,0.0
2020-09-22 01:00:00,12.290732407881094,0.0
2020-09-22 01:15:00,12.117643333936083,0.0
2020-09-22 01:30:00,11.944554259991072,0.0
2020-09-22 01:45:00,11.771465186046063,0.0
2020-09-22 02:00:00,11.598376112101052,0.0
2020-09-22 02:15:00,11.402246385075237,0.0
2020-09-22 02:30:00,11.206116658049421,0.0
2020-09-22 02:45:00,11.009986931023604,0.0
2020-09-22 03:00:00,10.81385720399779,0.0
2020-09-22 03:15:00,10.713872765007398,0.0
2020-09-22 03:30:00,10.613888326017005,0.0
2020-09-22 03:45:00,10.513903887026611,0.0
2020-09-22 04:00:00,10.41391944803622,0.0
2020-09-22 04:15:00,10.315814813081603,0.0
2020-09-22 04:30:00,10.217710178126989,0.0
2020-09-22 04:45:00,10.119605543172373,0.0
2020-09-22 05:00:00,10.021500908217757,0.0
2020-09-22 05:15:00,9.951412814729938,0.0
2020-09-22 05:30:00,9.881324721242118,0.0
2020-09-22 05:45:00,9.811236627754298,0.0
2020-09-22 06:00:00,9.741148534266479,0.0
2020-09-22 06:15:00,9.774776148629677,1.687669183385476
2020-09-22 06:30:00,9.808403762992874,3.375338366770952
2020-09-22 06:45:00,9.84203137735607,5.063007550156428
2020-09-22 07:00:00,9.875658991719268,6.750676733541904
2020-09-22 07:15:00,10.332505517911287,43.65715177186515
2020-09-22 07:30:00,10.789352044103307,80.56362681018841
2020-09-22 07:45:00,11.246198570295327,117.47010184851166
2020-09-22 08:00:00,11.703045096487346,154.3765768868349
2020-09-22 08:15:00,12.092632452587761,182.32867078537438
2020-09-22 08:30:00,12.482219808688177,210.2807646839139
2020-09-22 08:45:00,12.871807164788592,238.2328585824534
2020-09-22 09:00:00,13.261394520889008,266.1849524809929
2020-09-22 09:15:00,13.67632599111137,301.2783930497489
2020-09-22 09:30:00,14.091257461333733,336.371833618505
2020-09-22 09:45:00,14.506188931556094,371.465274187261
2020-09-22 10:00:00,14.921120401778456,406.558714756017
2020-09-22 10:15:00,15.294367391574976,427.8999207865102
2020-09-22 10:30:00,15.667614381371497,449.2411268170034
2020-09-22 10:45:00,16.040861371168017,470.5823328474967
2020-09-22 11:00:00,16.414108360964537,491.92353887798987
2020-09-22 11:15:00,16.63023312209736,483.7207316718567
2020-09-22 11:30:00,16.846357883230183,475.5179244657235
2020-09-22 11:45:00,17.06248264436301,467.31511725959035
2020-09-22 12:00:00,17.27860740549583,459.1123100534572
2020-09-22 12:15:00,17.448735685007,467.5645928422082
2020-09-22 12:30:00,17.618863964518177,476.0168756309592
2020-09-22 12:45:00,17.788992244029348,484.4691584197102
2020-09-22 13:00:00,17.95912052354052,492.9214412084612
2020-09-22 13:15:00,18.09312716775087,493.30272944651875
2020-09-22 13:30:00,18.227133811961217,493.6840176845763
2020-09-22 13:45:00,18.36114045617157,494.06530592263385
2020-09-22 14:00:00,18.495147100381917,494.4465941606914
2020-09-22 14:15:00,18.59272642064067,493.69427284424364
2020-09-22 14:30:00,18.69030574089942,492.9419515277958
2020-09-22 14:45:00,18.78788506115817,492.189630211348
2020-09-22 15:00:00,18.885464381416924,491.43730889490024
2020-09-22 15:15:00,18.919479260468126,481.07985160476034
2020-09-22 15:30:00,18.95349413951933,470.72239431462043
2020-09-22 15:45:00,18.98750901857053,460.3649370244805
2020-09-22 16:00:00,19.021523897621734,450.0074797343406
2020-09-22 16:15:00,18.90802748187881,407.9205610459543
2020-09-22 16:30:00,18.794531066135885,365.8336423575679
2020-09-22 16:45:00,18.68103465039296,323.74672366918156
2020-09-22 17:00:00,18.567538234650037,281.65980498079523
2020-09-22 17:15:00,18.304369667798575,243.25789511107155
2020-09-22 17:30:00,18.041201100947113,204.85598524134787
2020-09-22 17:45:00,17.77803253409565,166.45407537162416
2020-09-22 18:00:00,17.51486396724419,128.05216550190048
2020-09-22 18:15:00,17.188329912940127,97.06982554404469
2020-09-22 18:30:00,16.861795858636068,66.0874855861889
2020-09-22 18:45:00,16.53526180433201,35.10514562833312
2020-09-22 19:00:00,16.208727750027947,4.122805670477335
2020-09-22 19:15:00,16.009257664876284,3.092104252858001
2020-09-22 19:30:00,15.809787579724622,2.0614028352386673
2020-09-22 19:45:00,15.61031749457296,1.0307014176193336
2020-09-22 20:00:00,15.410847409421297,0.0
2020-09-22 20:15:00,15.219274990981429,0.0
2020-09-22 20:30:00,15.027702572541562,0.0
2020-09-22 20:45:00,14.836130154101696,0.0
2020-09-22 21:00:00,14.644557735661827,0.0
2020-09-22 21:15:00,14.465741210641998,0.0
2020-09-22 21:30:00,14.286924685622168,0.0
2020-09-22 21:45:00,14.108108160602338,0.0
2020-09-22 22:00:00,13.929291635582508,0.0
2020-09-22 22:15:00,13.745934305733629,0.0
2020-09-22 22:30:00,13.562576975884749,0.0
2020-09-22 22:45:00,13.37921964603587,0.0
2020-09-22 23:00:00,13.19586231618699,0.0
2020-09-22 23:15:00,13.422126699330395,0.0
2020-09-22 23:30:00,13.6483910824738,0.0
2020-09-22 23:45:00,13.874655465617206,0.0
