,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T_amb,s1,s2,s3,s4,s5,s6,s7,s8,s9,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,T1_2,T2_2,T3_2,T4_2,T5_2,T6_2,T7_2,T8_2,T9_2,T10_2,T11_2,T_amb_2,s1_2,s2_2,s3_2,s4_2,s5_2,s6_2,s7_2,s8_2,s9_2,u1_2,u2_2,u3_2,u4_2,u5_2,u6_2,u7_2,u8_2,u9_2,u10_2,u11_2,T1_4,T2_4,T3_4,T4_4,T5_4,T6_4,T7_4,T8_4,T9_4,T10_4,T11_4,T_amb_4,s1_4,s2_4,s3_4,s4_4,s5_4,s6_4,s7_4,s8_4,s9_4,u1_4,u2_4,u3_4,u4_4,u5_4,u6_4,u7_4,u8_4,u9_4,u10_4,u11_4,T1_8,T2_8,T3_8,T4_8,T5_8,T6_8,T7_8,T8_8,T9_8,T10_8,T11_8,T_amb_8,s1_8,s2_8,s3_8,s4_8,s5_8,s6_8,s7_8,s8_8,s9_8,u1_8,u2_8,u3_8,u4_8,u5_8,u6_8,u7_8,u8_8,u9_8,u10_8,u11_8,T1_32,T2_32,T3_32,T4_32,T5_32,T6_32,T7_32,T8_32,T9_32,T10_32,T11_32,T_amb_32,s1_32,s2_32,s3_32,s4_32,s5_32,s6_32,s7_32,s8_32,s9_32,u1_32,u2_32,u3_32,u4_32,u5_32,u6_32,u7_32,u8_32,u9_32,u10_32,u11_32
0,0.9534463894880226,0.0,0.0,0.001368183268697598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00448946315072355,0.0,0.000480151594014166,0.00022229164671766757,0.00015612980891110143,0.0001378100920875995,7.491354265093676e-05,0.0,0.0,0.0,0.09176525597739235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009751759352323007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005215124398207904,8.239893513513492e-05,6.187177693026946e-05,4.8410163968348806e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003363648738380344,7.62457385595749e-05,5.116139743273239e-05,3.294227057985513e-05,0.0,0.0,0.0,0.0012362328019980956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005151557832670365,0.0,0.0,4.662791706254674e-06,1.1313241547379105e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00475814250186272,0.9322166900128998,0.0,0.007094128881466375,0.0,0.0,0.0,0.0007285492386875844,0.0,0.0,0.0,0.0017974011872936636,0.0,0.0018375118694393855,0.0006031166849095558,0.00019743113656711062,0.0001315133104687386,0.00010669578536698159,0.0,0.0,0.0,0.0,0.09796198369565803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004987805626500731,0.00026614936658644764,0.0,5.635542572278391e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019020385382083214,0.00022654519113200335,0.0,5.718249216966752e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017127872038066104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005987022729725306,0.0,0.0,5.209772044871189e-05,3.982385699164484e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.015436651229244397,0.021292732505820904,0.7301586582540478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18966114747089904,0.0,0.000673992575999197,0.00048206942905091113,0.0007027472237125798,0.0006481105280179793,0.0006757852789792275,0.0005045148439255444,0.0,0.0,0.0,0.0,0.0,0.05616575757532138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005238487529951313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015210249012363758,0.00042807610225056544,0.0004094267877389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006434232776001644,0.0005567671929914734,0.0002814600610223777,0.00039394518298357413,0.0,0.0,0.0,0.0,0.0021393469400117996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005230478185602823,0.00305734563559924,0.0,0.0,6.615349592505481e-05,0.0,0.0,0.00031809148339637393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016014524288658536,0.0,0.00014964921416034494,0.00012024678216638633,8.619378383516006e-05,3.766881322003293e-05,2.7043252721860086e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.012453685565898305,0.0,0.8970601285253229,0.0,0.0,0.0,0.0,0.0,0.0,0.040063538192025086,0.0,0.0,0.0032829610289001974,0.0007500046350083377,0.00035543842478821157,0.0002352714131336718,0.00017684017350373557,0.0,0.0,0.0,0.0,0.0,0.0,0.22335248739366073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026840175619149555,0.00019006777534878106,0.0,1.9877976746817887e-05,0.0,0.0,0.0,0.0036371678836914357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014060489742060713,0.0002359397851797229,0.0,1.6375694360173547e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008025912354991565,0.0,0.0,3.953579736193355e-05,1.92981545111206e-05,0.0,5.639774447854329e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.017395632917458125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.8287338115896798,0.0,0.0,0.0,0.0,0.0,0.10284960298413225,0.0020702804635005225,0.0007556845694916105,0.0016613938067578772,0.001177132957608873,0.0011959665737378369,0.001234716430470106,0.0010963253533778207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11181244323961054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008488378529308062,0.0010410724494190587,0.0002968067674061116,0.00029731095044932695,0.00023932867763715984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012884557231104158,0.0,5.187055086211622e-06,5.226794490429584e-05,8.254018799974033e-05,0.0,0.0,0.0,0.0007504585459002487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008912218711459719,0.0,0.00018224090092203531,0.0,0.0,0.0,0.0001306878565415167,0.0017858843912906513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016393007023905776,0.0,0.00047511472892277626,0.00019823073837062653,0.00012758207606174338,7.18352196396835e-05,9.970451313792982e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.7700742145642008,0.0,0.0,0.0,0.0005972686893842367,0.17534916841686363,0.0,0.0,0.0005043328911686301,0.0006301103582547338,0.0008222637356839509,0.0009534496187661284,0.0009176603874152063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07558138615900485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004687656759731816,0.0,0.0,0.0,0.0,0.0,0.0,0.0012682113441179323,0.00033363245178619493,0.00015278963480898998,0.00019186989725536354,0.00018441888781589824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011581938915854874,0.002350897862516595,0.0,0.00017658365782473263,0.0002361883159689923,0.00027764817042584035,0.0,0.0,0.0,0.005338639738457533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011096525752006967,0.0,0.0005104176855168685,0.0,0.0,2.222035553354831e-05,0.00010533878479050279,0.0011332997457289989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000508063624578563,0.0002111193106600681,0.00012947576828517313,7.413847838809117e-05,7.237867548669104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.013337090381995037,0.0,0.0,0.9065362743043367,0.0,0.0,0.0,0.0,0.0037137383067620978,0.0,0.00032495175517566205,4.5463414252611585e-05,0.0,0.0001380712630565751,0.00031899779095798054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27337033798927957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006427753725913299,0.0006913911377238771,0.00036413430861430426,0.00036791669155779105,0.0005105083196668192,0.0,0.0,0.001020762934622182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011004384327576086,1.314250840053784e-05,5.505026088049549e-05,0.000388784614057242,0.0,0.0,0.0,0.008021831904766923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6524528163901106e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013442790813770512,0.0,0.0001452287606416692,0.00013136291265857257,5.19056339002979e-05,4.280192421888529e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02848238444145887,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8390674331748891,0.0,0.0,0.09627699362503905,0.004811032948131711,0.0,0.00026197954765980875,0.0001839823198950685,0.00012598199084753656,0.0003475110402988237,0.00047027129656101687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18641586324181741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005756970327758345,0.00017605750138839022,0.000199497866680102,0.0003309403668688911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001149220299651187,0.0,6.651096184704239e-05,0.00031101574587861217,0.0,0.0,0.0,0.0067227394071713645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.32303417334883e-06,0.0,0.0,0.0013911888795506081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015551768901842084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013245136318920566,0.0,0.0,7.901640705925184e-05,2.5871577449153046e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04031694326540171,0.0,0.0,0.0
8,0.0,0.0,0.0,0.005661605500723668,0.0,0.0,0.0,0.0,0.8392330169601017,0.0,0.10438340402818011,0.0020594174807779383,0.0,0.00024846353759717694,0.0001947880302340656,0.0001482645540367784,0.00043147834354680277,0.0005100998237415029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18607610507617806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047244489598960096,9.802830030493075e-05,0.0001300500243983021,0.0002867081920730304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012472449258153472,0.0,0.00016788635178749013,0.0003373667504815012,0.0,0.0,0.0,9.281171771337677e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010925212620886353,0.0,0.0,6.965799543535703e-05,5.245949259021888e-05,7.301427817909073e-06,1.2176286764112524e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028531551806991753,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8707785271274443,0.07673016532575738,0.0,0.0,0.000445419746227276,0.0002863579256218353,0.00021259167904803637,0.0005239460209692324,0.0005693562106134863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19982033591132004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009939370262943687,0.0005372533126905321,0.00014381007780879738,0.00026662477283191644,0.0003180088714428068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001516796982657808,0.0,0.00026658509863339237,0.0003453479437637179,0.0,0.0,0.0,0.005004664751546086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.409456158130366e-05,0.0,1.603184616333505e-05,0.003287548445247952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011906062922173222,0.0,0.00011380905450384966,0.00011726607236926119,0.00010067825047856835,4.193538866215674e-05,1.564876248536304e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014547046179415319,0.0
