,zone_0,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_10
1,0.04136464114868761,0.059613224682404854,0.07220929375894775,0.06545476352696411,0.06828614698149266,0.06248152400377682,0.06633744449373923,0.0619896804227792,0.06315624140109191,0.06707731053723409,0.04194942671707602
2,0.052588490377745094,0.08059948146769942,0.08140572810449058,0.09207928123579678,0.09647942439983848,0.07439334136919355,0.0979227484393291,0.07882898236388294,0.08105030911819076,0.09150743686473992,0.05296162148275864
3,0.0731629503160536,0.10757268935888557,0.10363124665067297,0.11744512642298534,0.12670817162533546,0.09663167070018096,0.13198596434828294,0.10505442201443602,0.10781337093774487,0.12227140637104662,0.07432218861834813
4,0.08683299203052154,0.12449561171804215,0.11434504853308756,0.1389897841917557,0.14687455157554552,0.10943454097420291,0.15693439452049254,0.12092055962898646,0.12336836408916022,0.14109551376407473,0.08727503239156358
5,0.10263102376829707,0.1417173173374629,0.1251235889486568,0.15664672856783338,0.16453939788873653,0.12106009968950929,0.17970690341149365,0.13657819775732646,0.1382976817639197,0.15766396869340482,0.10114958852800539
6,0.1149649271925138,0.15516230765751698,0.13256453170900737,0.1711053267244838,0.1777559115275164,0.12982636925985577,0.1975794069151324,0.14789484764534946,0.1489526828639264,0.16928668784232845,0.11152736341537445
7,0.12784454085303018,0.16740072074789977,0.13897720644153816,0.1834842258422444,0.188879063216743,0.13740974821216143,0.21374041158930915,0.15835407715814018,0.15899596810262956,0.17964244415795197,0.121308998360794
8,0.1387118430695223,0.17889230111119234,0.14450734357718822,0.1944212041348794,0.19750926253323625,0.1442416969482352,0.22781733849600236,0.16705477853701242,0.1675969173258787,0.18843790608066047,0.12945376967521977
9,0.14952679925328002,0.18992829651428525,0.14941541488013196,0.20476714072906954,0.2044923400415111,0.1497843085439423,0.24098879485810848,0.17493264196955627,0.1754916097334179,0.19664624772307077,0.1370597651774633
10,0.1588277654807756,0.20021495709975304,0.15384370104422004,0.2134251849180834,0.2101031310502646,0.15484948258868805,0.252462692769374,0.18172673235764458,0.18247925765159173,0.20373808824833428,0.14362716712950424
11,0.16774134038146374,0.2093556582645289,0.1572781379265868,0.2208894011847231,0.21480775012840697,0.1590627286177368,0.2626899791287714,0.18751348261697848,0.18844115547568652,0.2101088686976627,0.14950614591271497
12,0.17571636159471749,0.2173010368583009,0.16037723303615745,0.2270227619081464,0.21863099821332735,0.1627812484578205,0.2712485151618485,0.1921981313783616,0.19339290193196926,0.21519350557905098,0.15458881280079081
