0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.84,0.0,0.0,0.0,0.0,0.0,0.0388,0.0,0.0,0.000178,0.0,0.0,0.00365,0.0
0.0,0.808,0.0,0.0,0.0,0.0,0.0177,0.0,0.0,0.0,0.0,0.0,0.0,0.000576
0.00776,0.0,0.825,0.0,0.00119,0.0,0.0342,0.0,0.00571,0.00468,0.0,0.0,0.0,0.0
0.0,0.00301,0.0,0.87,0.0,0.0,0.05,0.0,0.0,0.0,0.000482,0.00098,0.0,0.0
0.0,0.00392,0.0,0.0,0.909,0.0187,0.0535,0.0,0.0,0.00234,0.0,0.0047,0.0,0.0
0.0,0.0197,0.00895,0.0,0.0,0.867,0.0372,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0511,0.106,0.129,0.0884,0.05,0.0625,0.716,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0226,0.0,0.0,0.0,0.0,0.0,0.0,0.831,0.0,0.181,0.0932,0.0346,0.0628,0.0
0.0057,0.0,0.000513,0.0,0.0,0.0,0.00169,0.0,0.93,0.0,0.00685,0.00395,0.0,0.0
0.0058,0.0,0.0098,0.0,0.0,0.0,0.0,0.0561,0.0,0.766,0.0,0.0,0.0,0.0
0.0,0.00159,0.0,0.00558,0.0,0.0,0.0,0.0422,0.00565,0.0,0.856,0.0,0.0,0.0
0.0,0.00287,0.0,0.0,0.00103,0.0,0.0,0.025,0.00436,0.0,0.0,0.922,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0209,0.0,0.0,0.0,0.00183,0.895,0.0
0.0,0.0,0.00346,0.0,0.00134,0.0142,0.0,0.0,0.0,0.0,0.00749,0.0,0.0,0.987
0.0128,0.00415,0.0,0.00305,0.00284,0.000986,0.0,0.0,0.00273,0.0,0.0,0.0,0.0,0.000645
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
