0,1,2,3,4
0.902,0.00467,0.0,0.00595,0.0179
0.00178,0.914,0.00256,0.0,0.0
0.0,0.000523,0.947,0.000588,0.0315
0.0148,0.00766,0.00323,0.926,0.0356
0.0239,0.0246,0.000145,0.0172,0.884
0.0,0.0,0.000102,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.00111,1.13e-05,0.00016,0.00017,0.000176
9.8e-05,0.0,8.99e-05,0.000119,0.0
7.49e-05,0.000182,9.19e-05,0.000116,4.83e-05
0.0,0.0,6.59e-05,9.67e-05,0.0
8.79e-07,0.0,4.8e-05,7.84e-05,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.378,0.0,0.0,0.0,0.0
0.0,0.291,0.0,0.0,0.0
0.0,0.0,0.286,0.0,0.0
0.0,0.0,0.0,0.309,0.0
0.0,0.0,0.0,0.0,0.0852
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.00884,0.0,0.00246,0.0,0.0
0.00352,0.0,0.0,0.0,0.0
0.0,0.000531,0.000195,0.000137,0.00011
0.000685,0.000694,6.74e-05,5.3e-05,0.000188
0.000446,0.000857,6.33e-05,5.54e-05,0.00022
0.0,0.0,0.0,3.54e-07,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.000183,0.0,0.0
0.00661,0.0,0.0,0.0,0.0
0.0,0.0,4.87e-05,1.34e-05,0.0
0.000819,2.44e-05,8.87e-05,6.08e-05,0.000123
0.00037,6.14e-05,6.75e-05,4.1e-05,6.83e-05
0.000111,0.0,0.0,0.0,0.0
7.84e-05,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.00136
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.00149,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.00125,0.000584,6.14e-05,2.78e-05,0.000255
0.00014,0.000195,0.0,0.0,0.0
0.0,0.0,3.58e-06,4.12e-06,0.0
0.0,5.55e-05,0.0,1.11e-05,0.0
0.0,1.74e-05,0.0,1.62e-05,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0012,0.0,0.000955
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0032
0.000782,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.00403,0.00171,0.00297,0.00472,0.00501
0.0,0.0,0.0,0.0,0.000356
9.59e-05,1.19e-06,0.0,5.28e-05,0.0
0.0001,8.46e-05,1.58e-05,2.63e-05,5.97e-06
5.41e-05,4.74e-05,1.3e-05,1.86e-05,7.26e-06
4.7e-05,1.55e-05,0.0,0.0,0.0
1.59e-05,4.43e-05,0.0,6.47e-06,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.00212,0.0,0.0,0.0,0.0
0.0379,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0247
