0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.836,0.0,0.00276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00424,0.00454,0.0
0.0132,0.837,0.0492,0.0104,0.00436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016
0.0203,0.0827,0.793,0.113,0.0,0.000593,0.0118,0.0,0.0,0.0,0.0,0.00382,0.0,0.0,0.0
0.0,0.0,0.00023,0.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.666,0.0,0.0476,0.0,0.107,0.0,0.0,0.0,0.0,0.00411,0.0
0.0,0.0,0.0,0.0,0.0,0.871,0.0,0.0,0.0,0.00026,0.0,0.0468,0.0,0.0807,0.0
0.0,0.0,0.0,0.0,0.155,0.00849,0.882,0.0,0.0,0.0,0.0,0.0,0.0,0.0145,0.0
0.0166,0.000452,0.0235,0.00503,0.0,0.0035,0.0128,0.95,0.00877,0.0,0.015,0.0126,0.00634,0.0209,0.0
0.0,0.0,0.00748,0.00429,0.125,0.0,0.0,0.0,0.853,0.0,0.0,0.0,0.0,0.00532,0.0
0.0,0.0,0.00639,0.0,0.000332,0.000868,0.0,0.0,0.0,0.988,0.0,0.0,0.0,0.000422,0.000306
0.00665,0.0,0.0,0.0,0.00187,0.0,0.00284,0.00178,0.00279,0.0,0.93,0.0,0.00533,0.0,0.0
0.00761,0.0,0.0069,0.0,0.0184,0.0719,0.0,0.0,0.00921,0.0,0.0,0.892,0.0,0.0,0.0
0.0,0.0,0.0186,0.0,0.00692,0.0,0.0,0.0037,0.0,0.0,0.0,0.0,0.938,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.00673,0.0,0.0,0.0,0.000658,0.0,0.0,0.0,0.839,0.000661
0.00533,0.00969,0.00507,0.00491,0.0,0.00431,0.0187,0.0032,0.00183,0.000944,0.00713,0.015,0.00493,0.0247,0.983
0.0248,0.0191,0.0256,0.015,0.0,0.0092,0.0069,0.0134,0.0101,0.0,0.0108,0.00141,0.00972,0.00285,0.000291
