0,1,2,3,4,5,6,7,8,9,10
0.953,0.00476,0.0154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0183
0.0,0.932,0.0213,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.00151
0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0239
0.00137,0.00709,0.0,0.897,0.0,0.0,0.0133,0.0,0.00566,0.0,0.0171
0.0,0.0,0.0,0.0,0.829,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.907,0.0,0.0,0.0,0.00319
0.0,0.000729,0.0,0.0,0.0,0.0,0.0,0.839,0.0,0.0,0.00869
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.839,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.000597,0.0,0.0,0.0,0.871,0.0
0.0,0.0,0.19,0.0401,0.103,0.175,0.0,0.0963,0.104,0.0767,0.864
0.00449,0.0018,0.0,0.0,0.00207,0.0,0.00371,0.00481,0.00206,0.0,0.0
0.0,0.0,0.000674,0.0,0.000756,0.0,0.0,0.0,0.0,0.0,0.0
0.00048,0.00184,0.000482,0.00328,0.00166,0.000504,0.000325,0.000262,0.000248,0.000445,0.000238
0.000222,0.000603,0.000703,0.00075,0.00118,0.00063,4.55e-05,0.000184,0.000195,0.000286,0.000233
0.000156,0.000197,0.000648,0.000355,0.0012,0.000822,0.0,0.000126,0.000148,0.000213,0.000165
0.000138,0.000132,0.000676,0.000235,0.00123,0.000953,0.000138,0.000348,0.000431,0.000524,0.000213
7.49e-05,0.000107,0.000505,0.000177,0.0011,0.000918,0.000319,0.00047,0.00051,0.000569,0.000277
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
