0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.444,0.0,0.0756,0.0,0.0,0.0,0.0,0.00544,7.06e-06,0.0,0.0,0.0,0.0,0.0,0.000437,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.853,0.0846,0.0,0.0022,0.0,0.0,0.00829,0.00223,0.00783,0.0,0.0,0.0,0.0,0.0,0.0114,0.0,0.0,0.0,0.00895,0.0
0.346,0.0752,0.573,0.0752,0.308,0.0558,0.0,0.00296,0.00942,0.0,0.00376,0.00411,0.00318,0.0,0.0,0.00815,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.08,0.788,0.0,0.0,0.0,0.00695,0.00231,0.0,0.0106,0.0,0.0,0.0,0.0,0.0,0.0,0.00763,0.0,0.0,0.0
0.0,0.0,0.0243,0.0,0.608,0.0,0.00398,0.0,0.0,0.0,0.0,0.0,0.00196,0.0,0.0,0.0,0.0,0.0,0.0107,0.0,0.0
0.0467,0.0,0.0801,0.0,0.0,0.91,0.00342,0.0,0.0,0.0,0.00457,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.887,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0629,0.0,0.13,0.525,0.119,0.0
0.0212,0.0,0.00608,0.0454,0.00477,0.0,0.0162,0.0,0.918,0.0191,0.00208,0.0111,0.00181,0.0,0.0,0.0,0.00607,0.0,0.0507,0.0,0.0
0.0,0.0,0.0,0.00555,0.0,0.0,0.0036,0.00745,0.0,0.938,0.0,0.0,0.0,0.0,0.00162,0.0,0.00439,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0356,0.0,0.0327,0.0,0.0167,0.911,0.00669,0.0,0.0,0.00191,0.0,0.006,0.0,0.0,0.0
0.0,0.0,0.0,0.0114,0.0,0.0,0.021,0.0,0.0,0.00214,0.0219,0.0104,0.97,0.0,0.0,0.00543,0.0196,0.00295,0.0,0.0,0.0
0.0,0.0074,0.0,0.0,0.0,0.0,0.00374,0.0,0.0,0.0,0.0,0.0115,0.000893,0.989,0.0,0.0,0.00991,0.0,0.0,0.0,0.0
0.0238,0.0109,0.0,0.00308,0.0,0.000801,0.0,0.0,0.0,0.00899,0.0,0.0,0.0,0.0,0.981,0.0,0.00319,0.0,0.000473,0.00625,0.000727
0.0357,0.0,0.0,0.00479,0.00047,0.0,0.0026,0.191,0.00539,0.0023,0.000407,0.00933,0.00115,0.0,0.0,0.867,0.0114,0.0,0.0,0.0,0.00173
0.00401,0.0,0.0,0.0115,0.0,0.0,0.00147,0.0,0.0,0.0039,0.000111,0.0,0.00101,0.0,0.0,0.0,0.925,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0143,0.0,0.0,0.0,0.159,0.00085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.835,0.0,0.0,0.0
0.0145,0.0,0.0,0.0,0.0,0.0,2.12e-05,0.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372,0.0,0.0
0.0,0.000446,0.0316,0.0,0.0221,0.00096,0.0,0.161,0.0,0.00137,0.0,0.0,0.0,0.000247,0.0,0.0,0.00891,0.0,0.0,0.826,0.0
0.0,0.0219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000708,0.0,0.0,0.0,0.009,0.0,0.00129,0.018,0.0,0.983
0.00428,0.00874,0.0181,0.00398,0.00564,0.0,0.0,0.0,0.000342,0.0,0.0167,0.000444,0.0,0.00106,0.0,0.0,0.0,0.00254,0.00681,0.0,0.00137
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000816,0.000636,0.0024,0.000901,0.000964,0.000654,0.0,0.0,0.0,0.00356,0.000226,1.69e-05,0.0,4.83e-06,0.0,8.73e-05,0.00376,0.000282,0.000262,0.000138,0.0
0.000273,0.000191,0.000925,0.000703,0.000257,0.000128,0.0,0.0,1.61e-05,0.00124,0.000276,4.94e-05,0.0,0.0,0.0,2.32e-05,0.00124,0.00036,0.000111,5.45e-05,0.0
0.000211,0.000149,0.00057,0.000739,0.000207,8.77e-05,2.65e-05,7.55e-05,2.38e-05,0.000902,0.000526,6.89e-05,3.85e-06,0.0,0.0,0.0,0.000896,0.000652,0.0,0.0,0.0
