0,1,2,3,4,5,6,7,8
0.00252,0.00363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000286,0.000197,0.0,0.00107,0.0,0.000295,0.0,0.000342,2.2e-05
7.08e-05,5.08e-05,0.000124,2.66e-05,0.000261,5.06e-05,0.0004,0.000177,8.85e-07
2.9e-05,2.72e-05,7.14e-05,3.68e-05,0.000165,1.52e-05,0.000178,0.000377,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.000184,0.0,0.0
0.0,0.0,0.0,0.00124,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.00936,0.0,0.0,0.0,0.0,0.0,0.0
0.000141,0.00037,0.0,0.0,0.00056,0.000403,0.00124,4.26e-05,3.14e-06
6.7e-05,9.7e-05,3.05e-05,0.0,0.00016,5.87e-05,0.00032,0.0,6.48e-06
3.12e-05,1.73e-05,0.00012,0.0,9.4e-05,0.0,0.00018,5.82e-05,4.46e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.91e-06,0.0,7.82e-05,0.0,5.62e-05,0.0,3.32e-07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0105,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0316,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.00286,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.000745,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00221,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00207,0.0083,0.00701,0.00529,0.00412,0.00968,0.0113,0.0062,0.00264
0.0,0.0,0.00448,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.000137,0.0,0.000123,0.000671,0.000183,0.000444,6.95e-05,3.55e-05
0.0,1.6e-05,0.0,1.47e-05,0.000143,4.31e-05,0.00014,0.0,5.78e-06
0.0,2.04e-05,2.49e-05,2.61e-05,9.58e-05,5.64e-05,0.000101,0.0,3.65e-06
3.26e-05,1.68e-05,7.62e-05,3.58e-05,8.31e-05,8.73e-05,6.22e-05,0.0,0.0
0.0,2.25e-05,7.65e-05,4.73e-05,9.6e-05,0.000108,8.98e-05,1.29e-05,1.92e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.101,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0608,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.00807,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.109,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0385,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0583,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
