0,1,2,3,4,5,6,7,8
0.886,0.0222,0.056,0.00857,0.00154,0.0,0.0,0.0169,0.0
0.00213,0.827,0.102,0.0,0.0053,0.0,0.0,7.65e-05,0.00156
0.000604,0.117,0.558,0.0918,0.0477,0.197,0.0586,0.0471,0.0
0.0,0.0,0.0359,0.815,4.01e-05,0.0,0.00103,0.0,0.0
0.0,0.0,0.0615,0.0,0.901,0.0,0.0,0.00271,0.000251
0.00699,0.0,0.0716,0.00754,0.0,0.759,0.0,0.0,0.0
0.0,0.0,0.0292,0.0,0.0,0.0,0.891,0.0,0.0
0.00793,0.00369,0.0455,0.0,0.00602,0.0,0.0,0.882,0.0
0.0102,0.0044,0.0,0.0208,0.0133,0.0,0.000554,0.00198,0.98
0.0259,0.00328,0.00967,0.0115,0.00461,0.0,0.00633,0.0127,0.00129
0.0,0.00837,0.0,0.0,0.00538,0.00961,0.00786,0.00233,0.0
0.000266,4.21e-05,0.000467,0.00202,3.34e-05,0.0,4.1e-05,1.66e-05,2.34e-05
0.0,0.0,0.000211,0.000274,0.000195,0.0,0.0,0.0,1.27e-05
0.0,0.0,0.00019,5.96e-05,0.000396,0.0,0.000366,0.0,1.74e-06
8.02e-05,9.03e-05,7.94e-05,9.72e-05,0.000452,9.2e-05,0.00054,0.00019,0.0
2.67e-05,0.0,0.0,0.0,0.000427,0.0,0.0,1.31e-06,0.0
0.0,0.00666,0.0,0.00531,0.0,0.00242,0.0,0.00511,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.00595,0.0,0.0,0.0
0.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.336,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.433,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.386,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.364,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.413,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.448,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.5e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.000615,0.000624,0.0,0.000937,0.000595,0.000601,0.000507,0.000503,2.73e-05
0.000179,0.000133,0.0,0.000292,0.000605,0.000217,0.000696,2.25e-05,6.97e-08
0.000119,7.97e-05,0.0,0.000192,0.00036,8.8e-05,0.00052,0.0,0.0
2.89e-05,0.0,3.36e-05,7.92e-05,0.000256,0.0,0.000374,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.69e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
