0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0.835,0.0257,0.00637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000728,0.0,0.0,0.0314,0.00122,0.0,0.0
0.0,0.87,0.0524,0.00118,0.011,0.0,0.0234,0.0,0.0,0.0,0.00261,0.0,0.00557,0.0,0.0,0.00254,0.0,0.0,0.0,7.29e-06,0.0,0.0,0.00561,0.0,0.0,0.0,0.0
0.101,0.0274,0.505,0.0209,0.14,0.0566,0.2,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.067,0.895,0.0,0.0129,0.0,0.0,0.0,0.0,0.000348,0.0,0.0,0.0,0.0,0.00542,0.0,0.000361,0.0,0.00129,0.0,0.00508,0.000773,0.0,0.0,0.0,0.0
0.0,0.0,0.0512,0.00679,0.823,0.0,0.0,0.0,0.0,0.0,0.0,0.00219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000539,0.0,0.00618,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.021,0.0,0.0,0.807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.31e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.119,0.0,0.0,0.0,0.708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0102,0.0,0.0
0.0,0.0,0.0885,0.0,0.0,0.0,0.0,0.794,0.00873,0.0,0.0,0.0,0.0,0.00594,0.0,0.0,0.00115,0.0,0.00454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000353,0.0,0.0,0.0,0.00767,0.0215,0.0,0.0,0.936,0.0406,0.018,0.0,0.0,0.0457,0.0384,0.0522,0.0255,0.0,0.0,0.0,0.0,0.0,0.0,0.00217,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0579,0.0,0.0627,0.142,0.0882,0.251,0.151,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00321,0.0,0.94,0.0,0.00181,0.00206,0.0,0.0,0.00122,0.0,0.0,0.00119,0.0,0.0,0.0,0.0,0.0,0.0,6.94e-05
0.00399,0.00622,0.00284,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.000764,0.953,0.0,0.0,0.0,0.000731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.000264,0.0,0.0,0.0131,0.0619,0.0,0.0,0.93,0.0,0.00278,0.0,0.0,0.0,0.00231,0.0,0.000182,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0142,0.0163,0.0,0.0,0.00434,0.00017,0.0,0.0,0.000196,0.928,0.0,0.00412,0.0,0.0,0.0,0.0,0.0,0.0,0.0158,0.0,0.0,0.0,0.00016
0.0,0.0,0.0,0.0,0.0027,0.00654,0.0,0.0,0.0023,0.0157,0.0,0.0,0.0163,0.0,0.931,0.00822,0.0,0.0,0.00522,0.0,0.0,0.0,0.00391,0.0,0.0,0.0,0.0
0.0,0.0,0.00103,0.0,0.00377,0.0,0.0,0.0,0.00322,0.0,0.0,0.00504,0.00557,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.00831,0.0,0.0,0.0,0.0,0.0,0.0
0.0015,0.00427,0.0,0.0348,0.0,0.0,0.0113,0.0192,0.012,0.0,0.00375,0.0,0.0,0.0,0.0,0.00949,0.957,0.00102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0296,0.0256,0.00721,0.0,0.0,0.0,0.0,0.0,0.0,0.00224,0.00549,0.000147,0.991,0.00203,0.0,0.0,0.0,0.0,0.00152,0.00022,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.955,0.0,0.0,0.00725,0.00742,0.0,0.00411,0.00145,0.00273
