0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.862,0.0,0.0311,0.00573,0.0024,0.0242,0.0165,0.0,0.0,0.0,0.0,0.0,0.0,0.00151
0.0155,0.9,0.00996,0.0584,0.00358,0.0,0.0292,0.0181,0.00126,0.0,0.0,0.0112,0.0,0.0
0.0,0.00142,0.881,0.0158,0.00584,0.0,0.00149,0.00141,0.0,0.0,0.0,0.00118,0.0,0.0
0.0,0.0,0.0,0.803,0.0231,0.0,0.0255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.000369,0.00143,0.866,0.0167,0.00416,0.0,0.0112,0.0,0.0,0.0,0.0
0.065,0.0196,0.0,0.0209,0.0,0.0,0.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.552,0.0,0.063,0.19,0.119,0.037,0.0
0.00549,0.0,0.00147,0.00126,0.0,0.0,0.0,0.00972,0.951,0.00143,0.0173,0.00417,0.0,0.0
0.0,0.0,0.00629,0.0,0.00474,0.0,0.0,0.086,0.0,0.884,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128,0.0,0.0,0.726,0.0,0.0,0.000567
0.0,0.0,0.0068,0.0,0.0,0.0,0.0,0.0924,0.0,0.0,0.0,0.833,0.0,0.0
0.0,0.00935,0.0,0.00049,0.0,0.0,0.0,0.0881,0.0043,0.0,0.00314,0.0,0.921,0.0
0.00781,0.0074,0.0,0.0214,0.00371,0.00477,0.00755,0.0,0.00396,0.0114,0.0,0.0,0.0,0.985
0.0161,0.0178,0.00303,0.0152,0.0,0.0199,0.0,0.0,0.00666,0.0,0.00463,0.0,0.0,0.00063
0.0,0.0,0.00495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000468,0.000394,0.000226,0.000351,0.00027,0.000319,0.000107,0.000289,0.00273,0.000112,0.000101,0.0013,0.00013,0.0
0.000124,0.0,0.000105,0.000393,0.000171,0.000159,6.33e-05,0.000145,0.000724,0.000201,0.000901,0.00117,0.000157,2.62e-06
9.93e-05,8.41e-05,0.000116,1.44e-05,0.000745,0.000112,9.5e-05,0.00013,0.000153,0.000273,0.000779,0.00147,0.000261,0.0
8.71e-05,0.000118,0.000103,0.0,0.000822,0.000114,0.000122,0.000164,0.0,0.000278,0.000556,0.00158,0.000278,0.0
1.26e-05,5.61e-05,4.24e-05,0.0,0.000712,0.0,5.76e-05,0.000227,6.09e-07,5.73e-05,0.000291,0.00128,0.0,0.0
