0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0.861,0.0171,0.0118,0.0097,0.00929,0.015,0.00525,0.00125,0.0129,0.00285,0.00628,0.0207,0.00506,0.0,0.00726,0.0,0.0107,0.0,0.0,0.0,0.00226,0.0405,0.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.65e-05
0.0,0.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00444,0.0175,0.88,0.0,0.0073,0.00281,0.00432,0.0,0.00075,0.000984,0.00386,0.0,0.0,0.0,0.00258,0.0,0.00344,0.00105,0.0,0.000547,0.0,0.0,0.00845,0.0,0.0,0.0,0.0169,0.0,0.0132,0.00281,0.0,0.0,0.0,0.00114
0.035,0.0,0.0,0.849,0.0,0.00156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0361,0.0,0.0,9.5e-05,0.0,0.0,0.0,0.0176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.00489,0.0162,0.0,0.922,0.00665,0.0,0.0145,0.000635,0.0,0.00194,0.0,0.00433,0.0162,0.0,0.0,0.00112,0.0,0.0,0.0,0.000493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138,0.0,0.0284,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.876,0.0,0.0,0.0263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00393,0.00398,0.0159,0.00662,0.00433,0.00968,0.917,0.0,0.0,0.0182,0.0162,0.00251,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0263,0.0,0.00257,0.00205,0.0165,0.00134,0.0,0.0,0.0205,0.0,0.0,0.0,0.0,0.0
0.0,0.0112,0.0189,0.00775,0.0105,0.00826,0.0,0.905,0.0115,0.0186,0.0124,0.0248,0.00755,0.000983,0.0242,0.0242,0.0122,0.0216,0.0,0.0,0.0,0.00367,0.0,0.0,0.0139,0.03,0.0271,0.00722,0.00428,0.0112,0.00217,0.0,0.0,0.000809
0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.883,0.0,0.0106,0.0234,0.0024,0.0,0.0,0.0286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0226,0.0,0.0
0.0,0.00849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.859,0.0,0.0,0.0,0.0,0.0,0.0,0.000253,0.0,0.0,0.0,0.0,0.0268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0116,0.0222,0.0,0.0,0.868,0.0,0.00256,0.0,0.0191,0.0,0.0,0.0,0.0,0.0,0.00518,0.0,0.0,0.0,0.0,0.021,0.0,0.0232,0.0,0.0,0.0,0.0049,0.0,0.0
0.00895,0.0043,0.0,0.0,0.0,0.0,0.00191,0.00457,0.0101,0.00204,0.0,0.877,0.0,0.0202,0.0,0.0,0.000313,0.0,0.0,0.0,0.0206,0.00738,0.0298,0.0,0.0,0.00914,0.0,0.0697,0.0,0.0132,0.0167,0.00847,0.00348,0.00183
0.0,0.0242,0.0,0.0,0.0,0.00595,0.0,0.0,0.0106,0.0,0.0,0.0,0.865,0.0,0.0133,0.0287,0.00304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0086,0.0,0.0,0.0,0.00234,0.87,4.03e-05,0.0,0.00936,0.0128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115,0.0207,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0633,0.0,0.0525,0.0,0.0346,0.0,0.0
0.0,0.00749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0
0.0186,0.0284,0.0,0.094,0.00109,0.0343,0.0,0.0192,0.0,0.0363,0.0541,0.0,0.0781,0.0,0.0,0.0,0.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335,0.0,0.012,0.611,0.183,0.504,0.0522,0.148,0.366,0.346,0.506,0.0725,0.392,0.0574,0.265,0.207,0.0
0.0,0.00297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000802,0.0,0.00321,0.0,0.0,0.918,0.00336,0.0,0.0,0.00511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0253,0.0
0.0,0.000284,0.0,0.0,0.00265,0.0,0.0,0.00756,0.0,0.0,0.0,0.00217,0.00143,0.0,0.0027,0.00296,0.0,0.0618,0.0163,0.921,0.0,0.0,0.0393,0.0185,0.00285,0.00168,0.0258,0.0,0.00223,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137,0.0,0.0,0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0205,0.0,0.0,0.0257,0.679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.0,0.0,0.0,0.0,0.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0113,0.0,0.00259,0.0,0.0,0.0,0.0,0.000314,4.19e-05,0.0,0.0,0.00735,0.00919,0.00959,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.898,0.00979,0.00384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.00043,0.0,0.00722,0.0,0.000234,0.0,0.0,0.0,0.00448,0.0,0.0,0.0,0.0,0.0,0.0,0.00239,0.0,0.0,0.0,0.0,0.0,0.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
