0,1,2,3,4,5,6,7,8,9,10,11
0.875,0.00186,0.0291,0.0,0.0,0.0,0.00243,0.00337,0.00655,0.0,0.0,0.0
0.0,0.85,0.0168,0.0,0.000557,0.00165,0.0033,0.0,0.0,0.00217,0.00458,0.00218
0.0412,0.0442,0.894,0.0,0.142,0.0,0.0,0.0,0.0116,0.0,0.0,0.0
0.0,0.0239,0.0,0.961,0.0,0.0,0.0,0.0,0.0,0.0,0.0577,0.0
0.0,0.0,0.0241,0.0,0.807,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.985,0.0,0.0,0.0106,0.0,0.0024,0.0
0.0,0.0,0.00395,0.00061,0.000409,0.0,0.939,0.0,0.0,0.0,0.0,0.000121
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.927,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.000528,0.0,0.0,0.931,0.0,0.0,0.0
0.0,0.00547,0.0,0.0,0.000776,0.00133,0.0,0.00734,0.0,0.983,0.000632,0.0
0.0,0.0,0.0,0.0165,0.0,0.0,0.0,0.0,0.000756,0.0,0.917,0.0
0.0,0.00956,0.0,0.00223,0.0032,8.78e-06,0.00372,0.0,0.0074,0.00011,0.0038,0.985
0.0176,0.0156,0.0,0.000662,0.0,0.0,0.0115,0.0137,0.00702,0.0,0.00275,0.000297
0.00387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000523,0.00105,0.00199,0.0,0.000613,0.0,0.000325,0.00105,0.00332,0.0,0.0,0.0
0.000121,0.000188,0.000585,0.0,5.69e-05,0.0,0.000158,0.000209,0.00152,0.0,0.0,0.0
0.000141,0.000161,0.000595,5.26e-07,5.9e-05,9.59e-08,0.000144,0.000196,0.0013,8.27e-06,2.24e-05,0.0
0.000144,0.000158,0.000444,3.01e-06,1.4e-05,2.25e-06,9.64e-05,0.000129,0.00102,9.28e-06,1.39e-05,0.0
5.3e-05,0.000116,0.000235,0.0,0.0,0.0,7.37e-05,6.44e-05,0.000482,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.00317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.108,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0912
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
