0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.879,0.0,0.0293,0.0,0.0,0.0,0.0,0.00227,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.898,0.0157,0.000748,0.00183,0.00453,0.0,0.0,0.000873,0.0,0.0,0.0,0.0,0.00255,0.00135
0.027,0.0307,0.841,0.0493,0.0,0.00297,0.0,0.000388,0.00264,0.0,0.0,0.0,0.00172,0.0,0.0
0.0,0.0,0.0259,0.9,0.0,0.0,0.0,0.0,0.00139,0.000562,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.92,0.0,0.00806,0.00463,0.0291,0.0,0.0,0.0,0.00116,0.00335,0.000479
0.00278,0.0,0.0,0.0,0.0,0.897,0.0,0.0,0.0,0.0,0.0,0.0226,0.0,0.0303,0.0
0.0,0.009,0.00168,0.0,0.032,0.00936,0.955,0.0,7.04e-05,0.0,0.00289,0.00109,0.00615,0.0,0.000203
0.0,0.0,0.00661,0.0,0.00346,0.0,0.0,0.953,0.0,0.00194,0.0,0.0,0.0,6.03e-05,0.0
0.0,0.0,0.00257,0.0,0.0195,0.0,0.0,0.0,0.933,0.0,0.0,0.0,0.0,0.0,0.0
0.00456,0.0,0.0,0.00821,0.000574,0.00634,0.0,0.00785,0.0,0.988,0.0,0.0,0.00017,0.00254,0.0
0.000854,0.0,0.0,0.0,0.0028,0.0,0.0,0.000538,0.0,0.0,0.946,0.0,0.00153,0.0,0.000395
0.0,0.00234,0.00587,0.00142,0.0,0.0422,0.0,0.0,0.0,0.0,0.0,0.935,0.0,0.00464,0.0
0.0,0.0,0.0,0.0,0.00135,0.0,0.00171,0.00385,0.00275,0.0,0.00445,0.00222,0.951,0.00844,0.0
0.0,0.0,0.0,0.0,0.0,0.00712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.901,0.000149
0.00169,0.0,0.0,0.00547,0.00228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.984
