,zone_0,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8
1,0.08705891161320516,0.0970389821081873,0.09533471332205265,0.10499938642059145,0.07776481385359808,0.10742872659422115,0.08584738560159245,0.07770702404838889,0.01730800565559094
2,0.11131719247596968,0.10244088375547636,0.13019862090604803,0.14240404842888654,0.11784496225989234,0.12980922972316797,0.1309805157235832,0.1182804335226032,0.029833306114830493
3,0.13610619314067002,0.1313496632807814,0.15587406863345477,0.18318394607077826,0.15396871987382804,0.16758658120438283,0.1656008749732896,0.15204722217495995,0.03958215606907993
4,0.15553500026523653,0.15244088552868576,0.17596915249423495,0.2171954104619601,0.1842815378040394,0.19757942783699103,0.19390641144609336,0.18060681450305333,0.0479813968681441
5,0.17288810994848075,0.171237458207446,0.19373633527764947,0.24562771160028307,0.210921439014824,0.2229767539800027,0.21795839815508694,0.2054101705594791,0.055909901103321474
6,0.1880674366724078,0.19079292056497218,0.20894394130964222,0.27099788818389425,0.2350454934338646,0.246263139969115,0.2391136161508184,0.22797659983532156,0.0638070486237807
7,0.20165842390588948,0.20733753591795187,0.2236229323666419,0.29271331741701107,0.2559508149351905,0.26565825187740955,0.25692640024571234,0.2475095870842465,0.07140951315166182
8,0.21416184381804418,0.22354489252727985,0.2368998669463679,0.3120133008296025,0.27523257631895326,0.28308630104743454,0.2723195846941111,0.26486899343184606,0.07869360628641786
9,0.22516857166095494,0.23874690780728253,0.24905901333193428,0.32904619927117923,0.29247655199615497,0.29858003922563214,0.28592186079604615,0.28052827849148043,0.08577802577955403
10,0.2347075381659532,0.25197821963938777,0.2607253371582073,0.34379303721443877,0.308130412708114,0.31216331327530283,0.2981748296590498,0.29411947924774895,0.09272552696748601
11,0.24354184583446548,0.2645284720744075,0.27121133497726524,0.357057716335556,0.3221540027632605,0.3248815468456678,0.3095251489479323,0.3064944668355043,0.09952237750511964
12,0.2512183983932059,0.275615192701084,0.2810895180998899,0.3687192805846633,0.33481919513124164,0.3362232794869137,0.3196450854436909,0.31743524657691746,0.10611526253276714
13,0.2579877880251503,0.2855377580496733,0.2902648472410258,0.37906474596991635,0.34640006826177017,0.3465365037832406,0.3289821768655577,0.32732314108559646,0.11254518192018814
14,0.2640847059687068,0.2947417731187157,0.29878666563709905,0.3883056589426942,0.3569095260919751,0.3559165838375529,0.3376968914010047,0.3361721308467163,0.11886762859253425
15,0.2695396471060632,0.3034151136839702,0.3067859052609072,0.39661879659943805,0.36646679465750026,0.3645275215403525,0.3457059874098112,0.3440521010030804,0.12503818922022897
16,0.274531522742558,0.31159233246804624,0.31408191666178004,0.40410886524073836,0.3749419910161953,0.37244389891928525,0.3529784266422781,0.3512738574221426,0.1310496301959857
17,0.27896495643247016,0.31893235030551015,0.3207009484476931,0.4105711634934009,0.382519362539884,0.3796752927141385,0.3596027502103392,0.3575521452567917,0.13693421680848938
18,0.2828773866302511,0.32588322276038606,0.32660031434386966,0.41659539051850086,0.38927152373693097,0.3863569197356479,0.3660426653608123,0.36325254769680404,0.142679194224944
19,0.2865409334624865,0.33215179689209906,0.3322994660236205,0.4219877445723267,0.3955086275124589,0.39244437126942866,0.3721164313807096,0.3683244633642541,0.1482811497243919
20,0.2897271263456676,0.33809143966389604,0.3375666857081263,0.42699506619746536,0.4013194759007633,0.3981222382892087,0.3779155539141518,0.37311651465804735,0.15373174859950686
21,0.2925927122077563,0.34354468792760434,0.34246929020366945,0.43154256485381026,0.4064461783397755,0.40332926378711453,0.38356393222249924,0.37748065953909515,0.1590574729099571
22,0.29518997523540574,0.3487972397056262,0.34693732858622456,0.43572912147059073,0.4111632357406285,0.40819249797876417,0.38883197343655207,0.3814351577221509,0.16424556354384282
23,0.297387306003448,0.35342016775426505,0.3512339779168234,0.4395089265549008,0.41531512059720604,0.4124609545312793,0.3935968052476371,0.3849686285010014,0.16931912402831928
24,0.2995180501933671,0.35809339044153116,0.35489236388209344,0.4430214545895452,0.4190772466643659,0.41655730019674236,0.39817964904721403,0.38843976589774354,0.17427299718047395
25,0.3012825900049968,0.36201688367167406,0.35854014596856576,0.4460927319875835,0.42230742722541337,0.4200147259018501,0.4024666206391569,0.3917890831535425,0.17910051666477322
26,0.30304311832228187,0.36611019609183537,0.3616109138107037,0.44903789491735685,0.4252687368329207,0.4233941303635396,0.4064374829978546,0.3950490629146336,0.18380022379697797
27,0.3043344138984913,0.3695789073533431,0.3646360167013879,0.45165284599303945,0.4280043325934329,0.42640961450640474,0.41012153867144846,0.39765182985335695,0.18838202983377536
28,0.3056319782870145,0.37296339378130927,0.36739739918746034,0.4541379020334384,0.43054977815902096,0.42922969565552005,0.4135314552989413,0.40001866321686197,0.19287635580212087
29,0.30681485349497667,0.37620143201208767,0.3699819255337353,0.45640570970566313,0.4328550095176697,0.4319008482124991,0.4166762944270876,0.40205786758768275,0.19730664612215212
30,0.30790028774513534,0.37919884784375274,0.3723996151652919,0.4585443174835586,0.43496116946702545,0.43443335333537203,0.4196981999460034,0.4039035419027087,0.2016593814938461
31,0.3088832929319993,0.38200054136542316,0.37463058019505097,0.46049085118314576,0.4368259990108702,0.43675401742321684,0.4225620261274,0.40553883832383275,0.20590272632850692
32,0.3097555832091364,0.3845508792263007,0.3767060908497736,0.4623050790887671,0.4386069246367123,0.4389111201710893,0.4252891138269909,0.4069724356684092,0.21003483577309365
33,0.31058353892848867,0.38692754639657834,0.37860060126475764,0.4639700306609674,0.44033396596696445,0.44092924734174305,0.4277876013965986,0.4082836296056239,0.21418032583421392
34,0.311333080612939,0.38915264367477553,0.38040506787100997,0.4654936551572522,0.4418717115057849,0.4427638591091545,0.43007528573501264,0.4094247980846858,0.21835406255884945
