,zone_0,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_10,zone_11,zone_12,zone_13,zone_14,zone_15,zone_16,zone_17,zone_18,zone_19,zone_20,zone_21,zone_22,zone_23,zone_24,zone_25,zone_26
1,0.1016245165097916,0.08762857415275666,0.0953636730193556,0.08452599367308514,0.09879223261423871,0.11469592488718373,0.12350038387662914,0.06899683160785512,0.028245511665091316,0.10206559061788999,0.04378376037984135,0.04052307954318991,0.035849489259797994,0.036198072287840256,0.041773219170043945,0.04967407844162175,0.018599583449008583,0.007600001873872776,0.039949071424687475,0.056123894291549896,0.04920541055648707,0.06056723730966041,0.09791818763997162,0.07581870031962239,0.11642586058259231,0.08041840158306726,0.012125822609698795
2,0.12891704547146868,0.13194381287706436,0.12363059072323165,0.12333237199642892,0.1150745534261742,0.17474826613912026,0.15150549359821702,0.08162779740555585,0.052140060502940205,0.12527881611777822,0.07458142903983944,0.07496084367673908,0.06588313102545047,0.06209244960727906,0.06907957259766256,0.0814389810860768,0.032959246766735076,0.01224627003638334,0.07430323390225682,0.07538433783128987,0.09140472612780708,0.08960368766382698,0.11818696491784134,0.09926941400048257,0.1399180939622044,0.09301692099192227,0.022065062740381752
3,0.1678607947700557,0.1701956080710885,0.14092876235614768,0.15964861814763484,0.14392013230260398,0.22989941312331816,0.18307961476923726,0.10087446853991842,0.07429687848666408,0.1348128051247522,0.0993267779742792,0.1041524807220395,0.09196422531323556,0.08371227920836777,0.09026574980376469,0.10601074638142743,0.04723353916196661,0.016936459833420785,0.10389095648424827,0.10151815894576376,0.12771224142961787,0.12251946760252035,0.15347900733985048,0.12940782795178002,0.16794585686836178,0.11989011462884638,0.031732240757191374
4,0.1986714826423696,0.201781670321295,0.15610326288699683,0.1904828272176557,0.1668166882612645,0.2743391959503362,0.20691639649897542,0.11770796763855293,0.09433082577302487,0.14918248566356396,0.11919990541544609,0.1291481265271868,0.1145483832486737,0.10306297550508617,0.10933444967122383,0.12737262378029215,0.0601303378156034,0.02143792754173414,0.1295432538655276,0.1221411310791414,0.1593379079170882,0.1511567774226523,0.17840635046732634,0.15337625940506347,0.18668774893325116,0.14003623962646117,0.04078433015965087
5,0.22745302191033437,0.2292558564153102,0.16847629329818925,0.21855854903725846,0.18777965929074975,0.3106649565664676,0.22669083026031794,0.13413857871301807,0.11254637179662057,0.16012203546590065,0.13617054528638883,0.15102581119590358,0.13448746472061457,0.11997289844144704,0.12491801056731285,0.14476747625646294,0.07229273512215346,0.02561916516364024,0.15219278780713566,0.1416285558600324,0.18740315538501115,0.17776979426001502,0.20192052059596283,0.17470485448902043,0.20206098705027903,0.15859138952115673,0.049347700675093774
6,0.2517621945981223,0.25204915427939634,0.18090905483230282,0.24333071224228126,0.20530139002249023,0.34020902857728114,0.24226637554295372,0.14867378424498087,0.12923476808544834,0.17056262803204394,0.15130056918918472,0.1706313041314876,0.1523902931532317,0.1348830877996927,0.13776404757902894,0.1591605640750195,0.0834808976003372,0.029504633124919306,0.17234038242557617,0.15818423147347038,0.2126525782094649,0.20162930927460782,0.22045140378170483,0.19291448885378829,0.21528816456823147,0.17350588665562852,0.05735146766268695
7,0.2739723976053301,0.27204826079105093,0.19208096177142295,0.2660381299267629,0.22154736826742802,0.3647338058239978,0.2560008173071257,0.1625778292004165,0.1447639371290428,0.18134464743147413,0.16533332943464393,0.18853520662546808,0.1688884293054962,0.1483051187294396,0.14901526750503255,0.17184098376594434,0.09416327047334631,0.03319983032028983,0.19041919331784615,0.1727939494528966,0.23567154162114365,0.22297398801001422,0.23565622654192542,0.20880917199340168,0.2254658525795285,0.18598191648698106,0.06490899668019054
8,0.292897377583187,0.28922445947931735,0.2027625499276783,0.28620263416643815,0.23586451045910234,0.3850055326920345,0.2680635474250255,0.17509221421213497,0.1591926663657164,0.1904654713802826,0.178552188949599,0.20500814286157443,0.18403529700570018,0.16053166648181694,0.15904596757657888,0.183232140887569,0.10433960374725453,0.03658567091404859,0.206767959458515,0.18625383034102394,0.25678329800909094,0.2430480337673855,0.24991310294975577,0.22419484209857807,0.23602896395183875,0.1973196593888941,0.07206433956937992
9,0.3097414949380443,0.3043055587658569,0.2127619930198794,0.3042004721088475,0.24826570632410547,0.4019151991842673,0.2785610886350146,0.18595610678998212,0.1728675540145139,0.2003794779241136,0.1904885707820069,0.22020198974964028,0.19807340836900733,0.17193441172782267,0.16832609558430825,0.19425613178506929,0.11425910470788551,0.03979145380102526,0.22162543750113337,0.19776148761560502,0.2761832604000147,0.2608519040386122,0.261196759505134,0.23772743047368095,0.2453564368653297,0.20642213737171625,0.07889696834609587
10,0.3240561241403918,0.31732210828066704,0.22218272730684316,0.320207686801319,0.2586682918480535,0.4157696812433888,0.28766911325841055,0.1958987831181484,0.18573908695463315,0.20873057965753108,0.20214179903185828,0.23426853901154418,0.21109403339501556,0.18218963912285377,0.17598504925071856,0.2041514587667116,0.12389009800933845,0.04286706494422673,0.23517287742693224,0.20894888035154255,0.2940036263469062,0.277633274246907,0.2719583032976808,0.2507121815633451,0.25401229365852335,0.2154493153090024,0.08541635712529319
