time,T_amb,irrad
2020-12-10 00:00:00,-5.300000000000009,0.0
2020-12-10 00:15:00,-4.450000000000006,0.0
2020-12-10 00:30:00,-3.600000000000004,0.0
2020-12-10 00:45:00,-2.7500000000000018,0.0
2020-12-10 01:00:00,-1.8999999999999995,0.0
2020-12-10 01:15:00,-2.124999999999999,0.0
2020-12-10 01:30:00,-2.3499999999999988,0.0
2020-12-10 01:45:00,-2.574999999999998,0.0
2020-12-10 02:00:00,-2.7999999999999976,0.0
2020-12-10 02:15:00,-3.0249999999999986,0.0
2020-12-10 02:30:00,-3.25,0.0
2020-12-10 02:45:00,-3.475000000000001,0.0
2020-12-10 03:00:00,-3.700000000000002,0.0
2020-12-10 03:15:00,-3.825000000000001,0.0
2020-12-10 03:30:00,-3.95,0.0
2020-12-10 03:45:00,-4.074999999999999,0.0
2020-12-10 04:00:00,-4.199999999999998,0.0
2020-12-10 04:15:00,-4.3249999999999975,0.0
2020-12-10 04:30:00,-4.449999999999996,0.0
2020-12-10 04:45:00,-4.574999999999995,0.0
2020-12-10 05:00:00,-4.699999999999994,0.0
2020-12-10 05:15:00,-4.849999999999998,0.0
2020-12-10 05:30:00,-5.000000000000002,0.0
2020-12-10 05:45:00,-5.150000000000005,0.0
2020-12-10 06:00:00,-5.300000000000009,0.0
2020-12-10 06:15:00,-5.400000000000005,0.0
2020-12-10 06:30:00,-5.500000000000001,0.0
2020-12-10 06:45:00,-5.599999999999997,0.0
2020-12-10 07:00:00,-5.699999999999993,0.0
2020-12-10 07:15:00,-5.774999999999995,0.0
2020-12-10 07:30:00,-5.849999999999996,0.0
2020-12-10 07:45:00,-5.924999999999998,0.0
2020-12-10 08:00:00,-6.0,0.0
2020-12-10 08:15:00,-6.0249999999999995,1.5
2020-12-10 08:30:00,-6.049999999999999,3.0
2020-12-10 08:45:00,-6.074999999999999,4.5
2020-12-10 09:00:00,-6.099999999999999,6.0
2020-12-10 09:15:00,-6.074999999999999,21.5
2020-12-10 09:30:00,-6.049999999999999,37.0
2020-12-10 09:45:00,-6.0249999999999995,52.5
2020-12-10 10:00:00,-6.0,68.0
2020-12-10 10:15:00,-5.950000000000003,85.75
2020-12-10 10:30:00,-5.900000000000005,103.5
2020-12-10 10:45:00,-5.850000000000007,121.25
2020-12-10 11:00:00,-5.80000000000001,139.0
2020-12-10 11:15:00,-5.750000000000006,149.5
2020-12-10 11:30:00,-5.700000000000003,160.0
2020-12-10 11:45:00,-5.649999999999999,170.5
2020-12-10 12:00:00,-5.599999999999995,181.0
2020-12-10 12:15:00,-5.624999999999995,173.25
2020-12-10 12:30:00,-5.649999999999994,165.5
2020-12-10 12:45:00,-5.674999999999994,157.75
2020-12-10 13:00:00,-5.699999999999993,150.0
2020-12-10 13:15:00,-5.724999999999997,143.25
2020-12-10 13:30:00,-5.750000000000002,136.5
2020-12-10 13:45:00,-5.775000000000006,129.75
2020-12-10 14:00:00,-5.80000000000001,123.0
2020-12-10 14:15:00,-5.875000000000007,101.75
2020-12-10 14:30:00,-5.950000000000005,80.5
2020-12-10 14:45:00,-6.025000000000001,59.25
2020-12-10 15:00:00,-6.099999999999999,38.0
2020-12-10 15:15:00,-6.224999999999998,31.25
2020-12-10 15:30:00,-6.349999999999997,24.5
2020-12-10 15:45:00,-6.474999999999996,17.75
2020-12-10 16:00:00,-6.599999999999995,11.0
2020-12-10 16:15:00,-6.6499999999999995,8.75
2020-12-10 16:30:00,-6.700000000000003,6.5
2020-12-10 16:45:00,-6.750000000000007,4.25
2020-12-10 17:00:00,-6.800000000000011,2.0
2020-12-10 17:15:00,-6.750000000000007,1.5
2020-12-10 17:30:00,-6.700000000000003,1.0
2020-12-10 17:45:00,-6.6499999999999995,0.5
2020-12-10 18:00:00,-6.599999999999995,0.0
2020-12-10 18:15:00,-6.549999999999997,0.0
2020-12-10 18:30:00,-6.499999999999998,0.0
2020-12-10 18:45:00,-6.45,0.0
2020-12-10 19:00:00,-6.400000000000002,0.0
2020-12-10 19:15:00,-6.35,0.0
2020-12-10 19:30:00,-6.299999999999997,0.0
2020-12-10 19:45:00,-6.249999999999996,0.0
2020-12-10 20:00:00,-6.199999999999993,0.0
2020-12-10 20:15:00,-6.149999999999995,0.0
2020-12-10 20:30:00,-6.099999999999996,0.0
2020-12-10 20:45:00,-6.049999999999998,0.0
2020-12-10 21:00:00,-6.0,0.0
2020-12-10 21:15:00,-5.924999999999998,0.0
2020-12-10 21:30:00,-5.849999999999996,0.0
2020-12-10 21:45:00,-5.774999999999995,0.0
2020-12-10 22:00:00,-5.699999999999993,0.0
2020-12-10 22:15:00,-5.649999999999995,0.0
2020-12-10 22:30:00,-5.599999999999996,0.0
2020-12-10 22:45:00,-5.549999999999998,0.0
2020-12-10 23:00:00,-5.5,0.0
2020-12-10 23:15:00,-3.6999999999999993,0.0
2020-12-10 23:30:00,-1.8999999999999986,0.0
2020-12-10 23:45:00,-0.09999999999999787,0.0
