,zone_0,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_10,zone_11,zone_12,zone_13,zone_14,zone_15,zone_16,zone_17,zone_18,zone_19,zone_20,zone_21,zone_22,zone_23,zone_24,zone_25,zone_26,zone_27,zone_28,zone_29,zone_30,zone_31,zone_32,zone_33
1,0.08597689954345936,0.0863095345858588,0.09868841364065793,0.032583755068472435,0.054557232536701986,0.03565977831476365,0.07968962151267857,0.06393333924841539,0.05613005159435674,0.044938703207750993,0.06411665757773177,0.08328493759742327,0.05063930244406417,0.09464846911938662,0.08035682210329677,0.08430933812137441,0.023253030067774034,0.08642608644020598,0.07266488268390575,0.06971189527051092,0.10987551751864547,0.1621299145872459,0.18484236007999671,0.08514948095840819,0.10055334737945616,0.15140800728767004,0.13852052956985214,0.16465131112640377,0.0915411172997217,0.11319218584628847,0.08726939725212642,0.14849816542544664,0.1470639147923221,0.009617104571509731
2,0.12377247830133298,0.13739678368138272,0.13658495695220638,0.05449476747809877,0.07873290123373868,0.062378268444748745,0.10982204629229873,0.09959914327803032,0.09031321473807598,0.0718433550511624,0.10243400631129558,0.12083436929855373,0.07490793537634509,0.1461477592246157,0.12420093762641628,0.13269907082657836,0.04351724317390609,0.12323989061874395,0.13009411022786757,0.11584298883484184,0.15585922451555845,0.21690529041960788,0.2177379560561823,0.11431346697478345,0.13636435337754008,0.18577345053267202,0.19946371010665326,0.20397268423488113,0.13137539048799046,0.13955566147561246,0.12042736763616323,0.1784535553829746,0.18946414434339956,0.01733383712777962
3,0.1585440482025623,0.1778038445108594,0.17273863369948103,0.07294466607364612,0.10027448709520806,0.08598251045358561,0.13715791233080693,0.13062371827758001,0.11844791448009578,0.0945612560125133,0.1320554532202198,0.15387410656766293,0.09149528636887344,0.19144038580184478,0.16032672728504013,0.1735859814020465,0.06122516484381681,0.15073228370261088,0.17948226273909806,0.1607717106811523,0.18965584806791427,0.2809674253496457,0.24682641633334906,0.15637597176747145,0.1771666936916818,0.2311466388593376,0.24628608843743424,0.2335805042350411,0.17748717899918634,0.17368395879926987,0.16142567156630877,0.22168155133367104,0.2434850464300009,0.024687033652445865
4,0.18760299454047205,0.2097856483773473,0.2052701185936265,0.08903782402152641,0.1202219490021637,0.1071774081232005,0.16380276988550224,0.15916082394871953,0.14465745530794563,0.1151538536542173,0.1581395161273862,0.184049440419727,0.1045008065486336,0.23226135052211916,0.19016708024284265,0.2090553938750563,0.07733021888641922,0.1842682042931721,0.22121444192482204,0.19851663845121065,0.21400419076753352,0.32164409592116305,0.2640929414408725,0.18754153266745696,0.20673134370519256,0.2589134930445271,0.2776570801318723,0.25223120953881467,0.21338795693553778,0.19668633378504527,0.191128233282541,0.24080989828255814,0.2782841007361509,0.03157199889956945
5,0.21196604491779977,0.23506740368732415,0.23379126029610733,0.10315534765920954,0.13819429164505903,0.12629009690745532,0.18719717835489705,0.18474693105116313,0.16748162151577772,0.13338020583437196,0.1806933576199709,0.21215213406111152,0.11477050418198864,0.2669061768494361,0.21551646544520475,0.24085390102720663,0.09233616367209527,0.20918361837442354,0.25736882905354513,0.23381956487160543,0.24108754797275156,0.3605324742698383,0.2862490296727781,0.22169823960877483,0.2349426022589948,0.2915556135890857,0.30495622091908764,0.27603629518711637,0.24923012729596428,0.2236144335946323,0.22170698879401032,0.2642589923245636,0.3130720591039591,0.03792618178396132
6,0.2325340195170857,0.255307917733959,0.25979143160716345,0.1158179220076947,0.15463384605438155,0.1438291980982705,0.20904089305480236,0.2080587690836567,0.187724176172447,0.1497543463848467,0.20042474034955104,0.23466788334171226,0.12262344442107057,0.2964038117480145,0.2378725856085151,0.26874160248586276,0.1065423370299554,0.23549847061665666,0.2894552628642632,0.2647646816308375,0.26331525324876914,0.38935992599416064,0.3031798727295223,0.24940241059628965,0.256929204519144,0.31578458783792884,0.3266360594004036,0.2941629569623153,0.27831000317919974,0.24483201181126285,0.24583704938918025,0.2776972631013797,0.3391225353199239,0.043754260371159155
7,0.25007874146021,0.27164704789310234,0.28318909418904686,0.1273784297515218,0.17009396615094347,0.16007526679972026,0.22907707606651834,0.22943061310751656,0.20612346037499385,0.16466018158722914,0.21839163260610198,0.2543494138403401,0.13091254524708176,0.32286364992983607,0.2571382414636879,0.29306880156542464,0.12022398428837729,0.25750838410406024,0.3183875597123597,0.2935462426259461,0.28602767631574666,0.4161241704551894,0.32135308071317087,0.27730993621934114,0.2781219511604014,0.3419771047205967,0.347309227005074,0.31432960156783324,0.3065492525725152,0.26758404340329944,0.2695462688486584,0.293689378095833,0.36402077201763144,0.049160040277833536
8,0.26516372538359,0.285246320806173,0.30439838982709905,0.1379891415799038,0.18444285854628886,0.17502635360804691,0.24743020619429953,0.24895874610409668,0.22273939074505059,0.17804819955871853,0.2346507592694418,0.27166613154100394,0.1384458687764268,0.3464776248366749,0.2734686368289644,0.3143733431902891,0.1332784977728636,0.2807277084948341,0.3445285719972626,0.3193327938146317,0.3043442743818384,0.43657823738210927,0.3354082265916577,0.30099421672277776,0.29505813166445233,0.36276405042011695,0.3643288915275747,0.3299852415079436,0.33039284150253645,0.2857909356247891,0.289129881426756,0.3034824371609277,0.38341702460006877,0.05417101565420752
9,0.2779909249791237,0.29659176426683015,0.3234046190662187,0.1479097448589853,0.19786123031047953,0.18891633675158073,0.2643327466784458,0.26689959895905485,0.2382279369534878,0.19018396896768516,0.24944718335732288,0.2872617942999327,0.1455578522638488,0.36799139786560753,0.2876547452647098,0.3330494542939853,0.14583118014509722,0.3000530622233869,0.3681705667355824,0.34343884139961517,0.32448933085676096,0.45703799644299764,0.3521731356731976,0.32526054282658795,0.31251617988179187,0.385680659907998,0.38240357473648573,0.3487486687910961,0.35418110227118843,0.3067583900970857,0.3089951609945946,0.31673834808576035,0.4032008156406118,0.05884809757930896
10,0.2889643735328207,0.3062168963741499,0.3404570106191488,0.1571224174405523,0.21033594126351518,0.20177936355285628,0.2797084402295896,0.2832750537918326,0.2522737562235409,0.20127276738469435,0.2630424612310865,0.3009693734551686,0.1523083292061455,0.38699369511596854,0.29982772008898045,0.3497322461306068,0.15777282931715272,0.32017488005906625,0.38948972930353826,0.3650779022671175,0.34133567403850845,0.4732808681737388,0.3655205380640771,0.3465116669172872,0.32741577277450895,0.4045865241792194,0.3980220209107089,0.3634247978215806,0.37481782128634294,0.3242246225467488,0.3256766577663472,0.32603691659836925,0.4192597547058103,0.06322715736370682
