,0
0,0.777739320113831
1,1.5146867776560065
2,0.4043461614201611
3,0.371281470067391
4,0.7104295862923671
5,0.47145916533013477
6,0.6445043155403596
7,0.27966430394058506
8,0.49847812651830736
9,0.83928540880353
10,0.31205017221411424
11,0.5754601349614781
12,0.290722178191789
13,0.6203177630374199
14,0.6975912977442924
15,0.8578328564927666
16,0.5485618864846025
17,-0.24935974076530343
18,0.9113966011783532
19,0.736103485917198
20,0.4824513843426601
21,0.37766243834584756
22,1.070988492210816
23,0.08455578090489269
24,0.2559783059499523
25,-1.3142791710168353
26,-0.14694717198064566
27,-1.1944454163853848
28,-0.14471901039224022
29,-0.6352211181128951
30,0.255649689072186
31,-0.5397907633513874
32,0.23140250072682278
33,0.1775372450857695
