,zone_0,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_10,zone_11
1,0.0656104092248857,0.07369084540269337,0.0645352724955821,0.0217357774322903,0.0644460513040817,0.01731254492190028,0.035846722116227484,0.05473295777771443,0.05755542379667393,0.012038860072672328,0.03289773656152848,0.012323053910889155
2,0.09802233774375015,0.11166349634078242,0.09710907765200932,0.03573606825393466,0.0931766847597308,0.029640898781782048,0.06585472898588744,0.10153439378017738,0.10108327453650041,0.021993626537700033,0.05158961193170728,0.02242221506489693
3,0.12233436060531519,0.14310227689863567,0.12450166653669621,0.048972952373645025,0.12114956861346558,0.03891311331344552,0.09110927849780835,0.14168390847496162,0.1368566592399064,0.03127400117988671,0.06912610600284898,0.03193183208691127
4,0.14305713000619927,0.16847776191005212,0.1470961574109432,0.06009949974280095,0.14270128196106346,0.04661721874648175,0.11267746174314085,0.17679593022667164,0.16820304271928982,0.03975440812789575,0.08347447940533302,0.04081367888804388
5,0.16166975039007792,0.19093465232387113,0.1683934754041337,0.07068222916502614,0.16258134047536765,0.05366749298864387,0.13159177770641756,0.20805928272451557,0.19524962741081456,0.04757497912062708,0.09670616489232062,0.04908960530833882
6,0.17763543157353387,0.2091101258319371,0.18603034282216283,0.08041134910950379,0.17912139462103693,0.0603193427446092,0.1487533290237229,0.23628004737976774,0.21876391627532193,0.054854387540770794,0.10834351383578907,0.05687645059697417
7,0.19215927971278024,0.22532356799075662,0.2025696075231199,0.08983050103589786,0.1938098534204126,0.06661825429773366,0.1646084640375792,0.2619321732390145,0.23899385219511518,0.06170350444539072,0.11918490632363159,0.06425007376566202
8,0.20504778350511751,0.23936240460427047,0.2177525747707986,0.09865019136461686,0.20682363066359466,0.07260610067964655,0.1793492671958116,0.28539310177646704,0.2565942332375333,0.06820387776939904,0.12910718457207873,0.07128269350787189
9,0.2166559725622854,0.25178799587625883,0.2319838829577272,0.10717174373830216,0.21849423230549234,0.07847627386704424,0.19301168721960588,0.3069580483856672,0.27206242216503307,0.07442788353651952,0.138185772836811,0.07801515006970816
10,0.2270418356275026,0.26239895060828294,0.24477182304655115,0.11532921943166542,0.22934118569799827,0.08429556847977433,0.20565193871419482,0.3268468036536504,0.2852189367496418,0.08036378587393347,0.1465230281563938,0.08445113600659551
11,0.23643914970766336,0.27149057073562693,0.2568222701993892,0.12324523035200145,0.23924355689937193,0.08999709524101095,0.2173626704774974,0.3452368538113641,0.2965308084235672,0.08607295550871062,0.15431021657369953,0.09063987609412526
