,zone_0,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9
1,0.05269102528556849,0.07632436977604781,0.05811460275827574,0.06904721581477404,0.07200720791813126,0.04434200493235183,0.04718602194944741,0.05554207647146351,0.06333988675236396,0.015404867867077052
2,0.07563171619156843,0.10378839495590253,0.08719941114925878,0.1070824376652982,0.09878274103611445,0.07891439339728709,0.08672280808988404,0.09477535584869101,0.11059132552567344,0.028701728063462686
3,0.09826191138137742,0.13918940462601748,0.1147708999721983,0.14383005237665014,0.12682621680426268,0.10889364804786407,0.11993481365972239,0.1246234611355207,0.14893442043812735,0.04126419596748963
4,0.11735733121324776,0.16590234163499568,0.13841861784181184,0.17383832863511137,0.14616636042292955,0.13360996791031313,0.14844119965105176,0.14889630882366323,0.1792091812495898,0.053118367611619796
5,0.13498663312166134,0.19131113975551065,0.1594051913104267,0.200449700461924,0.16145575059378692,0.15452878982216636,0.17349271794595,0.167885585513028,0.20362040622276661,0.06441605048540061
6,0.15004218407513892,0.21180694054577892,0.17733920291315006,0.22329321504753,0.17385895995502437,0.17249431060786388,0.19605138766529087,0.18284822749199142,0.2242766555178984,0.07516826029533907
7,0.16399548017921262,0.23069286251587,0.19338214284586755,0.2441062602964137,0.18348845870648695,0.1884211000706559,0.21654876627558714,0.19503512015814997,0.2421218307475584,0.08546396312126534
8,0.175894197818228,0.246210222393631,0.20733410822506376,0.26256826248740534,0.19194846686094616,0.20263476282786075,0.23525187214325174,0.20523836734855722,0.2575943963726331,0.09535427320765076
9,0.18690302329332298,0.2599368411653811,0.22014958218133987,0.27935181457807173,0.19863787899232602,0.21541681761486284,0.2523079590105252,0.2141364588765363,0.2712334994904274,0.10493072139082
10,0.19642177545251963,0.27165653747206403,0.23129424272288007,0.29398999721016755,0.20461498988348276,0.22683297967364263,0.267856338231465,0.22141388311248744,0.2834714146769298,0.1141944052684573
11,0.20511233936651452,0.28184600157390227,0.24111802017007386,0.30673005533385866,0.20963734445889254,0.23700045286211663,0.2819621198959651,0.22747921980181984,0.2946135784529789,0.12316456679476474
12,0.21269663789116366,0.29067294560886237,0.2500080552494223,0.3177755675242029,0.21405160455853456,0.24599126124456244,0.29471863043560115,0.23283060392976448,0.30474650047297097,0.1318509286964464
13,0.2195124537669209,0.2982051730743416,0.2578114921359169,0.32751086658480205,0.2177719670722951,0.25402718167337673,0.306273890167625,0.23735050367465949,0.31395842573456023,0.14030213352458987
14,0.22542906439154384,0.3047264523531618,0.2647426601769276,0.33618631601226096,0.22106527894014036,0.2611856409943334,0.3167381354554775,0.2413417920377684,0.32227314648810956,0.14854371670416164
15,0.23067621632237728,0.3103300456378866,0.2708183611361399,0.34397570486710827,0.22382777918444882,0.2676570595242183,0.32627079897846056,0.2449271396534944,0.3298161522925092,0.1565905367005566
16,0.2351242414363143,0.3151600930465373,0.27629435589244494,0.3509367407222206,0.2264661416215074,0.273540946453122,0.33494142642893676,0.24845122974558348,0.33684117847449957,0.16445847019868337
17,0.23906913583397138,0.31949572276794075,0.2813816657579403,0.3573335757093509,0.22850917149848998,0.2789800137686055,0.34271567773813627,0.25215895371883074,0.34345349154112315,0.1721485634572521
18,0.24244846917219642,0.3231116688520911,0.28586238776505934,0.3628893034524455,0.2304046902965109,0.28402262421808794,0.3496854027912386,0.2558438510755197,0.34973680472903057,0.1796511608722523
19,0.24549305251885226,0.32633267401061095,0.29012113754449076,0.36786193318575494,0.23180071323805315,0.2886994257377005,0.3560369207261011,0.25951608525839437,0.35565839433917407,0.18698806200559512
20,0.24816355720152816,0.32903327416062944,0.2939699627176479,0.3721508998716216,0.23325607019301856,0.2930475432081257,0.36180343437180473,0.2632230359134906,0.36109273917283835,0.19414555269158923
21,0.2506521260088605,0.33147768032938313,0.2974731609089613,0.37600126259379624,0.23434140964461495,0.2970476332390206,0.3669399416720437,0.2667116776244113,0.36605824859148905,0.2011257313945895
22,0.25278258970880446,0.3335347192951172,0.3006265307641467,0.379340157098325,0.235361892287923,0.30068946647834094,0.37149212427096256,0.27004781734109384,0.3705444714794521,0.2079353639124639
23,0.2546134580256694,0.3353152291405429,0.30353451095056927,0.38230310979420185,0.23618070537216382,0.3040216431708821,0.37557949693999615,0.27330793844282497,0.37462865864262174,0.21458274970907565
24,0.2561872850680735,0.3368188255937461,0.3062446651057199,0.38494366673303354,0.2368860639680434,0.30710293530618965,0.3792710473621619,0.27652073644646386,0.37837499996734,0.22106851797724453
25,0.25750389893399156,0.33817913396563987,0.30867740519958425,0.38733775509038304,0.23742992603478436,0.30997658281102525,0.3825953722614262,0.27961745191593224,0.38181641207809874,0.22740213698103795
26,0.25862114846949297,0.33933070993885833,0.3107776051007601,0.3894572503555336,0.23785643259312886,0.3126223557887215,0.3856405830092221,0.282436510211089,0.38489422032324194,0.23359017984429772
27,0.25961517925237104,0.34032463566881255,0.31269891906999714,0.39135942960113035,0.23818483387521777,0.31503328263265534,0.3886494666735083,0.2850896937232926,0.3877131334115801,0.23964964026878705
28,0.26053231492562035,0.3411849074185378,0.314455008900053,0.393029026767852,0.23842134615692379,0.3172419200780083,0.39175905222515855,0.28761768101289015,0.3902084025576369,0.24557260766760916
29,0.26137326183405285,0.3418501451103282,0.31609592473136455,0.3944851742782569,0.2386019108463649,0.31921693812188845,0.3948947653200702,0.2899484374318341,0.3925517621476166,0.25138645165617257
30,0.26208047157410297,0.34247024135867965,0.3175740548940843,0.3957872548387295,0.23876698906109023,0.320992997433059,0.3977892310571217,0.29205739173946366,0.3946550068877965,0.2570872376975103
31,0.2627705188071316,0.3429692836672355,0.3188894225435352,0.39685833362787953,0.23893527016320468,0.32256368167915145,0.40032522443604457,0.2939927058088937,0.3966436663661123,0.26270914903475406
32,0.2633629689886051,0.34333229471708765,0.32013098759248765,0.39771673440062616,0.2389971502855514,0.323996771618306,0.40253911781986795,0.2957881900243605,0.39862725229103396,0.26824816374819366
