,zone_0,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_10,zone_11,zone_12,zone_13,zone_14
1,0.08182923834159406,0.06833017295628722,0.07764470591407292,0.06755894364088266,0.034670267074673196,0.05300737778603983,0.03664848638939156,0.05354919987710108,0.040395071093619374,0.009984464689715714,0.041755578240815674,0.05159961622014989,0.0667217639697846,0.05524782471124968,0.012066278718720364
2,0.12453213234727233,0.11133773741617717,0.11997034979024468,0.10983935154857774,0.06336577814829773,0.09719623222366555,0.06767926769287602,0.09350205943681561,0.07003513266305916,0.017383274649044746,0.07628425916427568,0.0965645716172284,0.10947770639624371,0.09947333880409498,0.021417786768097597
3,0.15241382768736914,0.14447857537636305,0.15072922364025973,0.13860356386452716,0.08977434470373519,0.13643371285086867,0.09483161212294697,0.12652386913921454,0.09575093824356828,0.024215431142598165,0.10472931065376245,0.1365029398641019,0.1409460662202359,0.13870855881134744,0.029938692999931977
4,0.1762147351954368,0.17368684180659047,0.17552388177807135,0.16146917684806855,0.11318579612829655,0.17078709469097328,0.118351494774893,0.1543155904825719,0.11736646623413742,0.030591289698080962,0.1282508171780328,0.17192344553095795,0.16961760683009527,0.17294039921092666,0.037672869194964015
5,0.19568228882378094,0.19854739226163845,0.1963035377246732,0.17959369559129099,0.134082153656714,0.20139767216776397,0.13911204883853168,0.17690643437489295,0.13560365412522202,0.03668268971808971,0.14849428219532357,0.20365456825477052,0.1932627312225504,0.20312491829851048,0.0448637889188899
6,0.21282400072439148,0.21988977807266694,0.21298557107437727,0.1948425055736199,0.15268459146156682,0.2287487619588944,0.15759049395339123,0.19671034867709952,0.15148478437002605,0.04249250632145923,0.1667532562315297,0.23245112717926594,0.2127841178714322,0.23036428871596062,0.05155450466272775
7,0.228346124274105,0.23814400761815455,0.22694580088138014,0.20810227812014498,0.1693289572377111,0.25324087935240996,0.17420443867773877,0.2140253319279459,0.16576638681738837,0.047985994749349226,0.18361185387173798,0.258625084931862,0.228668828157674,0.25534062230443727,0.05772484323372967
8,0.24216702984795532,0.2538446354474252,0.23854621256580688,0.21953449795372956,0.18428883223934447,0.2752645089752491,0.18915701061603515,0.22983978685952475,0.17894157872701436,0.053180424953691824,0.19928440239196987,0.28252685033926606,0.2428148689164075,0.2785141475611707,0.06349908915431679
9,0.25473815637658814,0.26728525979610374,0.248274531884115,0.22884089917976816,0.19783098283578346,0.29507224752292427,0.202711736577479,0.24457616061100354,0.19124825869294243,0.058159330518168156,0.21384865420658464,0.3043644630270397,0.25582082489104524,0.3000346001295809,0.06899739372274452
10,0.2658970862615619,0.2788703943723748,0.2564653177084688,0.23633492835011596,0.21007270798849825,0.31291637653412324,0.21502938036687205,0.25730091350343814,0.20242433097269377,0.06292977870382718,0.2273342932070955,0.32420770831646584,0.2660922002866513,0.31986665654646285,0.07419281004969895
11,0.2757898013002222,0.2889106245230564,0.26318561524650946,0.24254256362142904,0.22112455756729774,0.3290248193127909,0.22627978002509322,0.268317031135104,0.2125596669732465,0.06746219650174169,0.23980958148774653,0.3422614340308348,0.27445014921633604,0.33814728891107926,0.07915058082151039
12,0.2845985036445669,0.2976873982326572,0.2688442152751813,0.2472463859453818,0.2310644520090257,0.3436836847831108,0.2365612660206368,0.2781952254455706,0.22162868422741475,0.0717662051756122,0.2513448414780987,0.3587881971482101,0.28222648301667785,0.35489745121375554,0.08387278812672246
13,0.29263258009610366,0.30534604009582356,0.27373658141654633,0.25096183342300604,0.24005490153900327,0.357163813577412,0.24602019951802614,0.28699713644610236,0.22977712550753177,0.07589767937675783,0.2620406465742947,0.3740165207142586,0.28888449283468964,0.37038494606995054,0.08839820161426583
14,0.29981294319463536,0.3120501272981375,0.27792866608196626,0.2540355033462833,0.24818669445295385,0.3695722498726548,0.2547464973514236,0.29487232773312666,0.23714264564465679,0.0798823077023353,0.2720167319517899,0.3881032842101355,0.2945578520594731,0.38470918790590347,0.09275623004652443
15,0.30621859754131536,0.3178988981313592,0.2815449086597148,0.25681072449585907,0.2555502678129715,0.3810129468590618,0.26283269688273747,0.3019689495643829,0.24387211540431433,0.08371409249195272,0.28129414188802365,0.40116165487681016,0.2994652473532688,0.39799169346319935,0.09697926828670878
16,0.311896134227032,0.3229836706205003,0.2846291060763445,0.25948053986619063,0.26225209679512074,0.3916312220193935,0.2703656665378299,0.3087176451693903,0.25018116758410136,0.08744094223874815,0.2899116177599862,0.41324224142048327,0.30410318274526,0.41040254565309686,0.1010523739537974
17,0.3173235337217034,0.32743075250780135,0.28779045048681706,0.2621506799810901,0.2683873296005755,0.4014454113064416,0.2774011626912427,0.3153178340557898,0.256184962967576,0.09104396365645456,0.29788537091152323,0.4244298620566896,0.3087871624992743,0.4220055824014135,0.10499019048089143
18,0.32204969453501076,0.3313421988275508,0.29096859715937545,0.2649583132166299,0.2740545323890122,0.4105924048430449,0.2839634751888416,0.32152394979531473,0.26195411786344985,0.09454266285148931,0.3052666933222078,0.4347425159710316,0.31271082399849714,0.43281503081665623,0.1087941139649048
19,0.32615652728594335,0.3347907778909863,0.2937061854348035,0.2676077521541876,0.2793077247776238,0.41909415680735,0.29005897488702376,0.32740993246047934,0.2673889921505329,0.09796352871328595,0.31210454757448225,0.4442484766379261,0.3161874038603174,0.44285731727561733,0.11251899357816852
20,0.32990573591285743,0.3378284071444365,0.29594467633011196,0.2701329420499334,0.28418085116878977,0.4270259079607926,0.2957160563072211,0.3330612116429051,0.272441219264161,0.10131185674997102,0.3184126566836332,0.45298802617141426,0.31973010556365616,0.45212634879646524,0.11614277392672297
21,0.3331788742916774,0.3405242918194969,0.29805572260239194,0.27246907774072693,0.28870682626103694,0.4344116367888191,0.3009922235037825,0.3383757195334754,0.27717197911477315,0.104613430355324,0.3242286116264248,0.46105175326991693,0.3230178582590266,0.46076244228344,0.11968134799112361
22,0.3361785436675504,0.34291518788459696,0.29989211817700984,0.27455155130786285,0.29290202992663733,0.44127686351129,0.30593493664543536,0.3434534978863924,0.28155696261958346,0.10784422766667243,0.3296459353457783,0.4684644069810247,0.3262580410032117,0.46868297430451156,0.12314931436561416
23,0.3388060446052046,0.3450087524875004,0.30165425190260414,0.27655300342349604,0.29681845745116603,0.4476391655369924,0.3105973688705423,0.3483167679496601,0.2856788529655671,0.11100537610813105,0.33475031146009787,0.4753034316186411,0.3295972067610249,0.47598859214006767,0.12653658887315858
24,0.3412619189161289,0.3468408580794098,0.30320474891960264,0.2785737116390308,0.30049356424016654,0.45356683067794357,0.3150298392083664,0.3530106412865254,0.28955254090993215,0.11411618369927887,0.33953703347149866,0.48164565385294084,0.33298547781690935,0.4827556357587812,0.12982569779112918
25,0.3434973127143369,0.34834279092877907,0.30461544436158006,0.28031284758990327,0.3039739380386454,0.45910552351897743,0.31925747140808697,0.3573985106424842,0.2931815089546606,0.1171777634707514,0.3440049076758743,0.4875422075713001,0.3361992485397971,0.4890250891153157,0.13302957830937143
26,0.34566255915617605,0.3496807130001153,0.30587914175560166,0.2818625158128924,0.30728721714860135,0.4643000096426164,0.3233081771624313,0.3613335630032977,0.2966108705823164,0.12018468401908733,0.348192867650437,0.4930288184759552,0.33890782766142996,0.49483564061954644,0.13617859951011524
27,0.3476762172282488,0.3511017736643943,0.30718246721926246,0.28339212324153895,0.3104272005130238,0.46918192710415424,0.3271802006571998,0.36491044453268895,0.29979731382336083,0.12313436215203889,0.3521254353915642,0.49814731670758694,0.3413310862674945,0.5001902990156379,0.13926796002180936
28,0.34955154889295686,0.3526655507658971,0.30840707840838505,0.28490374952833813,0.3134062468815464,0.4737728622020638,0.3308711890265951,0.36830897734785456,0.30275748008604647,0.1260556254923154,0.35579874299859143,0.5028943186133138,0.3436831478395094,0.5051296947982058,0.14230090227878106
29,0.3512403756707994,0.3543460433781558,0.3096343751782547,0.28633838666354655,0.3162832607559738,0.478095598696388,0.33438811609268704,0.3715412344275405,0.30548533060663974,0.12894055668105295,0.35921030316680036,0.5072705580618717,0.34588460971607315,0.509672701131139,0.14526561844292885
30,0.3528676180969904,0.3561261447861128,0.31083530663303416,0.2877986508589125,0.3190172004340514,0.4821483875141771,0.33772581010821134,0.37446905064632124,0.3080018901251326,0.13177381850438621,0.3623650004358763,0.5113118051409488,0.3478644684384447,0.5138633552262459,0.14817105422814447
31,0.3544028468619926,0.3579932438423884,0.31211785113466667,0.2892114437226078,0.3215754975752812,0.4859520170696667,0.3408908825600994,0.3771217931796695,0.31032592394828823,0.13456296922036518,0.3653584075671019,0.5150562571535215,0.34968303361803,0.5177155218895646,0.15100730643685356
32,0.3558416557387774,0.360017128255145,0.313444643983928,0.2907152382412014,0.3239795398144246,0.48948335577165175,0.3439210784934642,0.3796378577584398,0.31248834589138813,0.1373210705429031,0.368144557611805,0.5185267725349032,0.351525444568405,0.5212540984051328,0.1537785401159249
33,0.3572447534890502,0.36216822925061576,0.31490959979258903,0.29231680362894275,0.32621945214471976,0.4927813932597643,0.34689709868787727,0.38201095158947684,0.3145410019096058,0.1400423281539242,0.3707431399372206,0.5217384209202882,0.3533096554786398,0.5245110537883951,0.15650313912815222
34,0.3585226164762627,0.36431580257297486,0.31641239535178456,0.2939532391410881,0.32840631398104697,0.4958973621736091,0.34992743184452624,0.38421608021598697,0.31655030998987227,0.1427150751582267,0.37314952767270027,0.5247233296346668,0.354969910532547,0.5275250617415627,0.15917557632151813
35,0.3597986889702187,0.3667404590785431,0.3180088712023629,0.2955473389622873,0.3305957409438396,0.4988434015214701,0.3531409940393203,0.38635540645241495,0.31857997923699416,0.1453488158464439,0.37545138958344254,0.5275414746620661,0.3565973290243112,0.5303834404085201,0.16177429044529246
36,0.36106487533146375,0.3692580834008767,0.3196304418038636,0.2971100500853079,0.33279203385073525,0.501645157878445,0.35628034150716203,0.3883800915441111,0.32046294615316434,0.1479388171056535,0.3776331139426006,0.5301729747660584,0.35811268974608956,0.5331004598905138,0.16429945135488627
37,0.36231704187941616,0.3717957873372292,0.32126779369441777,0.29861630845841275,0.33490650769681213,0.5042760635508098,0.35929502140996383,0.3902356900596029,0.32219841825455503,0.1504927402905602,0.37966162223570243,0.5326344167749623,0.3595206386998743,0.5356735833278234,0.16675338589012165
38,0.3635277289417012,0.3740660130499168,0.32281233663795084,0.3000330659429093,0.3369180492009412,0.5067132445548664,0.36206319242010365,0.3918512511422508,0.32377107206696387,0.1529949026302112,0.38159121181409605,0.5349524136349446,0.3607039343784784,0.5381197636528008,0.16915517998824686
39,0.3647146674849659,0.3762807864177685,0.3242879243666763,0.30132844253281466,0.33881611965396197,0.5089770747240752,0.3646042281403327,0.39314522628622417,0.3252013583082414,0.1554581930255993,0.3834277281116331,0.5371674269188773,0.36182652459340137,0.540455371179776,0.1715146893738282
40,0.3658657189974305,0.37870925875153283,0.3257871231748818,0.3026104900850675,0.34061284032485406,0.5111029784851706,0.3669799046743785,0.39437823037938896,0.3265202996745611,0.15789000154030583,0.38519278776881594,0.5392840211926913,0.3629401300312785,0.5426610454163225,0.1738473680261854
41,0.3669961376079332,0.3811302846856787,0.32733559312849303,0.30382894914058406,0.342335545444507,0.513114004111577,0.36922054804723065,0.39544018930198543,0.3277614094143859,0.16029856394857853,0.38691017450057225,0.5413096876974401,0.36401526477882906,0.5447496788233709,0.1761485729198326
